id,name,survey_year,is_accredited,has_score,accreditation_body,max_score,score
5889,Ahmedabad Arts and Commerce College,2015,TRUE,TRUE,NAAC,4,1.72
52356,Asia Pacific Commerce College,2015,TRUE,TRUE,CIAC,5,3.5
5942,N. C. Bodiwala & Prin. M. C. Desai Commerce College,2015,TRUE,TRUE,NAAC,4,2.07
6788,SHRI JMP ARTS & SMT M N PATEL MAHILA COMMERCE COLLEGE,2015,TRUE,TRUE,NAAC,4,2.65
7462,"Shahid Bhagatsingh College of Killari, Tq. Ausa",2015,TRUE,TRUE,NAAC,4,2.4
32866,National Power Training Institute,2015,TRUE,TRUE,NAAC,4,2.6
45278,"GOVERNMENT ARTS COLLEGE, PADADHRI",2015,TRUE,FALSE,AAA gujarat,NA,NA
33551,Sahyadri Shikshan Sansthas B.A. Alias Bhaisaheb Sawant Adhyapak Mahavidyalaya Sawarde Taluka Chiplun Dist. Ratnagiri,2015,TRUE,TRUE,NAAC,4,3
14867,Vickram Teacher Training College,2015,TRUE,TRUE,NAAC,4,2
6649,BARODA HOMOEPETHIC MEDICAL COLLEGE,2015,TRUE,FALSE,IAO,NA,NA
34533,"Vaidyanath College of Arts,Science & Commerce, Parli-Vaijnath.",2015,TRUE,TRUE,NAAC,4,2.53
34226,"G.B. TATHA TATYASAHEB KHARE COMMERCE, PARVATIBAI GURUPAD DHERE ARTS & SHRI MAHESH JANARDAN BHOSALE SCIENCE COLLEGE, GUHAGAR ,DIST.:-RATNAGIRI-415703",2015,TRUE,TRUE,NAAC,4,2.42
1000,"VIRANI SCI. & SHRI YOGIJI MAHARAJ ARTS, COMMERCE & SCIENCE - RAJKOT",2015,TRUE,TRUE,NAAC,4,3.28
1000,"VIRANI SCI. & SHRI YOGIJI MAHARAJ ARTS, COMMERCE & SCIENCE - RAJKOT",2015,TRUE,TRUE,AAA - Govt. of Gujarat,100,97.6
25326,S.G.S. (SMT. GENTELA SAKUNTALAMMA) COLLE,2015,TRUE,TRUE,NAAC,4,2.7
11009,"College of Engineering, KARAD",2015,TRUE,FALSE,NBA,NA,NA
11014,"Priyadarshini Dnyan Prabodhini's Law College, PHALTAN",2015,TRUE,TRUE,NAAC,4,3
15763,SHRI SHIVAJI MAHAVIDHYALAYA BARSHI TAL.BARSHI DIST-SOLAPUR,2015,TRUE,TRUE,NAAC,4,3.1
40322,Rajeev College of Nursing,2015,TRUE,TRUE,"Rajiv Gandhi University of Health Science, Bangalore",0,0
40322,Rajeev College of Nursing,2015,TRUE,TRUE,Indian Nursing Council,0,0
40322,Rajeev College of Nursing,2015,TRUE,TRUE,Karnatak State Nursing Council,0,0
39633,"SaralaMahavidyalaya,Rahama, Jagatsinghpur",2015,TRUE,TRUE,NAAC,4,2.94
35522,"Govt., I Grade College, Savanaur Tq: Shiggaon",2015,TRUE,TRUE,NAAC,4,1.5
11084,"Jaysingpur College, JAYSINGPUR",2015,TRUE,TRUE,NAAC,4,4
14549,St. John De Britto College of Education,2015,TRUE,TRUE,NAAC,4,3.2
34083,Jai Hind College Basantsing Institute of Science and J T Lalvani College of Commerce 23 24 Backba Reclamation A Road Churchgate Mumbai 400 020,2015,TRUE,TRUE,NAAC,4,3.26
41971,"Saraswati Mandir Sansthas Arts & Commerce College Night, Natu Baug, Pune 2",2015,TRUE,TRUE,NAAC,4,4
624,"Prof. V. B. Shah Institute of Management, R. V. Patel College of Commerce(English Medium), V. L. Shah College of Commerce, (Gujarati Medium), R. K. Shah Womens Arts College",2015,TRUE,TRUE,NAAC,4,2.1
42919,"Arts , Commerce &Science College , Kiran Nagar , Amravati",2015,TRUE,TRUE,NAAC,4,2.17
27690,"Global Institute of Advance Study in Education, Palamaner",2015,TRUE,TRUE,NAAC,4,2.49
25822,Sorijini Naidu (S.N) Vanitha Maha Vidhyalaya Degree College for Women,2015,TRUE,TRUE,NAAC,4,3.12
28639,Munna Lal Jai Narayan Khemkha Girls College Saharanpur Mob.No.9412231163 0132-2658187,2015,TRUE,TRUE,NAAC,4,3
1040,RAMBA GRADUATE TEACHERS COLLAGE - PORBANDAR,2015,TRUE,TRUE,NAAC,4,1.65
33525,Thakur College of Engineering & Technology Shaymnarayan Thakur Marg Thakur Villaige Samata Nagar Kandivli (E) Mumbai 400 101,2015,TRUE,TRUE,National Board of Accreditation,7,7
5838,Gujarat Cancer & Research Institute,2015,TRUE,FALSE,N.A.B.L.,NA,NA
18363,"Santaji College, Pt. Jawaharlal Nehru Marg",2015,TRUE,TRUE,NAAC,4,2.5
402,"SHRI SARVAJANIK PHARMACY COLLEGE, MEHSANA 245",2015,TRUE,TRUE,"NBA AICTE, New Delhi",10,7
26032,St. Mary Degree College,2015,TRUE,TRUE,NAAC,4,2.52
11012,"Dr. Ghali College, GADHINGLAJ",2015,TRUE,TRUE,NAAC,4,2.43
11115,"Vasantraodada Patil Institute of Management Studies and Research, Sangli Miraj Road,",2015,TRUE,TRUE,NAAC,4,4
