Institution,Courses,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total,Level - Ph.D - Male,Level - Ph.D - Female,Level - M.Phil - Male,Level - M.Phil - Female,Level - Post Graduate - Male,Level - Post Graduate - Female,Level - Under Graduate - Male,Level - Under Graduate - Female,Level - PG Diploma - Male,Level - PG Diploma - Female,Level - Diploma - Male,Level - Diploma - Female,Level - Certificate - Male,Level - Certificate - Female,Level - Integrated - Male,Level - Integrated - Female,Level - Total - Male,Level - Total - Female,Grand Total
"Kalinga Institute of Industrial Technology, Bhubaneswar ",19,1,1,0,2,6500.0,3000.0,,9500,6210.0,2731.0,,8941,,,,,506.0,309.0,677.0,250.0,,,,,,,,,1183,559,1742
"Kalyani University, Kalyani ",35,6,3,0,9,560.0,245.0,,805,494.0,337.0,,831,,,5.0,10.0,2209.0,5036.0,20079.0,18166.0,99.0,50.0,99.0,9.0,4.0,0.0,,,22495,23271,45766
"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga ",20,3,1,0,4,184.0,25.0,,209,184.0,10.0,,194,77.0,7.0,,,1021.0,2008.0,2382.0,1981.0,,,,,,,,,3480,3996,7476
"Kannada University, Hampi, Kamalapura ",20,2,2,0,4,120.0,80.0,,200,120.0,80.0,,200,75.0,41.0,59.0,56.0,730.0,910.0,680.0,338.0,,,723.0,389.0,,,6.0,3.0,2273,1737,4010
"Kannur University, Kannur ",57,3,1,0,4,180.0,60.0,,240,180.0,60.0,,240,9.0,2.0,0.0,0.0,671.0,1183.0,2174.0,5354.0,0.0,0.0,,,4.0,39.0,,,2858,6578,9436
"Karnataka State Law University, Hubli ",6,1,1,0,2,35.0,25.0,,60,35.0,25.0,,60,0.0,0.0,,,39.0,36.0,1939.0,1020.0,7.0,7.0,,,,,511.0,232.0,2496,1295,3791
"Karnataka State Open University, Mysore ",55,1,1,0,2,200.0,150.0,,350,200.0,150.0,,350,,,,,5286.0,7338.0,4317.0,5166.0,583.0,728.0,169.0,163.0,67.0,72.0,,,10422,13467,23889
"Karnataka State Women University, Bijapur ",35,0,3,0,3,,350.0,,350,,350.0,,350,0.0,40.0,,,0.0,640.0,49.0,11795.0,,,0.0,75.0,0.0,85.0,,,49,12635,12684
"Karnataka University, Dharwad ",77,13,7,0,20,1614.0,853.0,,2467,1697.0,1147.0,,2844,293.0,177.0,17.0,13.0,1239.0,1018.0,11824.0,11254.0,148.0,74.0,,,57.0,33.0,17.0,53.0,13595,12622,26217
"Karpagam Academy of Higher Education, Coimbatore ",122,1,1,0,2,1832.0,570.0,,2402,1327.0,524.0,,1851,271.0,201.0,102.0,226.0,811.0,353.0,1868.0,906.0,,,,,,,,,3052,1686,4738
"Karunya Institute of Technology and Sciences, Coimbatore ",73,8,7,1,16,4510.0,3195.0,24.0,7729,4510.0,3195.0,24.0,7729,1.0,4.0,7.0,17.0,380.0,437.0,640.0,476.0,5.0,0.0,,,,,0.0,0.0,1033,934,1967
"Kerala Agricultural University, Thrissur ",62,6,7,1,14,595.0,762.0,34.0,1391,356.0,929.0,3.0,1288,0.0,6.0,,,80.0,150.0,108.0,332.0,0.0,0.0,,,,,,,188,488,676
"Kerala Kalamandalam, Thrissur ",19,2,2,1,5,170.0,240.0,25.0,435,170.0,240.0,25.0,435,,,,,5.0,0.0,10.0,24.0,,,,,,,,,15,24,39
"Kerala University, Thiruvananthapuram ",158,1,2,1,4,160.0,380.0,25.0,565,170.0,430.0,25.0,625,120.0,163.0,119.0,252.0,1303.0,3985.0,5882.0,15771.0,,,,,,,22.0,29.0,7446,20200,27646
KING GEORGE MEDICAL UNIVERSITY ,39,7,9,3,19,931.0,486.0,418.0,1835,1209.0,689.0,398.0,2296,0.0,0.0,,,0.0,0.0,2.0,0.0,,,0.0,171.0,,,,,2,171,173
"Kolhan University, West Singhbhum ",42,3,0,0,3,250.0,,,250,250.0,,,250,0.0,0.0,,,501.0,1027.0,1185.0,2118.0,,,,,,,,,1686,3145,4831
"Koneru Lakshmaiah Education Foundation,Guntur ",28,5,1,0,6,1441.0,900.0,,2341,1327.0,702.0,,2029,0.0,0.0,,,208.0,100.0,335.0,136.0,,,,,,,,,543,236,779
"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh ",41,1,1,0,2,98.0,98.0,,196,78.0,70.0,,148,0.0,0.0,0.0,0.0,376.0,230.0,3756.0,4372.0,36.0,8.0,13.0,60.0,40.0,5.0,38.0,25.0,4259,4700,8959
"Krishna Institute of Medical Sciences Deemed University, Karad ",40,5,3,0,8,647.0,483.0,,1130,502.0,301.0,,803,0.0,0.0,,,141.0,192.0,289.0,1014.0,11.0,7.0,,,18.0,114.0,,,459,1327,1786
"Kumaun University, Nainital ",2,5,6,0,11,328.0,358.0,,686,328.0,358.0,,686,20.0,25.0,,,2357.0,4343.0,35120.0,56594.0,19.0,41.0,81.0,81.0,,,,,37597,61084,98681
"Kurukshetra University, Kurukshetra ",161,10,12,0,22,2094.0,2708.0,,4802,2094.0,2708.0,,4802,119.0,127.0,112.0,113.0,3157.0,5063.0,12081.0,24238.0,100.0,216.0,459.0,924.0,349.0,370.0,120.0,40.0,16497,31091,47588
"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur ",13,1,1,0,2,64.0,16.0,,80,20.0,6.0,,26,0.0,0.0,,,41.0,29.0,150.0,72.0,76.0,15.0,,,,,,,267,116,383
"Kuvempu University, Shankaraghatta, Shimoga ",157,2,4,0,6,515.0,703.0,,1218,486.0,812.0,,1298,13.0,12.0,12.0,5.0,7807.0,6239.0,9943.0,11970.0,438.0,250.0,17.0,6.0,,,41.0,82.0,18271,18564,36835
"Lakshmibai National Institute of Physical Education, Gwalior ",13,7,4,1,12,660.0,302.0,126.0,1088,660.0,302.0,126.0,1088,14.0,8.0,0.0,0.0,39.0,19.0,90.0,35.0,34.0,6.0,41.0,0.0,,,,,218,68,286
Lala lajpat Rai University of Veterinary and Animal Sciences ,4,2,2,0,4,402.0,195.0,,597,342.0,170.0,,512,3.0,1.0,,,54.0,16.0,38.0,6.0,,,60.0,0.0,,,,,155,23,178
"Lalit Narayan Mithila University, Darbhanga ",47,3,1,0,4,274.0,68.0,,342,102.0,0.0,,102,,,,,2873.0,1462.0,32028.0,22900.0,,,26.0,14.0,9.0,5.0,,,34936,24381,59317
"LNM Institute of Information Technology, Jaipur ",20,2,1,0,3,707.0,290.0,,997,707.0,290.0,,997,0.0,0.0,,,0.0,0.0,86.0,12.0,,,,,,,0.0,0.0,86,12,98
"Lovely Professional University, Jullunder ",297,7,6,0,13,12838.0,4796.0,,17634,11065.0,4332.0,,15397,0.0,0.0,40.0,52.0,853.0,792.0,2247.0,1496.0,6.0,6.0,345.0,54.0,0.0,0.0,,,3491,2400,5891
"Madras University, Chennai ",73,3,3,0,6,391.0,490.0,,881,387.0,503.0,,890,41.0,67.0,117.0,312.0,5146.0,7094.0,12357.0,24793.0,0.0,14.0,0.0,60.0,4.0,33.0,17.0,20.0,17682,32393,50075
"Madurai Kamraj University, Madurai ",97,4,3,0,7,520.0,528.0,,1048,575.0,635.0,,1210,26.0,36.0,273.0,659.0,5639.0,7750.0,13414.0,17490.0,221.0,171.0,124.0,1105.0,1105.0,1720.0,,,20802,28931,49733
"Magadh University, Bodh Gaya ",44,6,2,0,8,1200.0,400.0,,1600,1200.0,400.0,,1600,247.0,115.0,,,798.0,419.0,14951.0,10906.0,,,,,,,,,15996,11440,27436
Maharaja Krishnakumarsinhji Bhavnagar University ,44,4,1,0,5,542.0,80.0,,622,542.0,80.0,,622,1.0,2.0,,,2011.0,429.0,8026.0,6441.0,20.0,52.0,180.0,0.0,,,,,10238,6924,17162
"Maharaja Sayajirao University of Baroda, Vadodara ",106,12,4,0,16,2362.0,1415.0,,3777,2362.0,1415.0,,3777,1.0,0.0,,,607.0,1298.0,853.0,1173.0,134.0,239.0,252.0,86.0,0.0,0.0,,,1847,2796,4643
"Maharashi Markandeshwar University, Solan ",10,1,1,0,2,50.0,50.0,,100,29.0,17.0,,46,,,,,22.0,34.0,22.0,5.0,,,,,,,,,44,39,83
"MAHARASHI MARKENDESHWAR UNIVERSITY, SADOPUR-AMBALA ",6,1,1,0,2,292.0,242.0,,534,143.0,41.0,,184,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
"Maharishi Dayanand Saraswati University, Ajmer ",39,1,2,1,4,40.0,130.0,4.0,174,30.0,66.0,0.0,96,16.0,27.0,2.0,3.0,1706.0,1876.0,26824.0,14752.0,26.0,37.0,0.0,100.0,65.0,26.0,166.0,322.0,28805,17143,45948
"Maharishi Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur ",15,5,0,0,5,2400.0,,,2400,1160.0,,,1160,,,,,35.0,7.0,448.0,253.0,4608.0,2148.0,6422.0,2601.0,,,,,11513,5009,16522
"Maharishi Markandeshwar University, Mullana-Ambala ",58,5,6,1,12,2641.0,2112.0,200.0,4953,2554.0,1974.0,195.0,4723,17.0,8.0,2.0,7.0,193.0,204.0,1600.0,695.0,9.0,3.0,84.0,13.0,0.0,0.0,,,1905,930,2835
"Maharishi University of Management and Technology, Bilaspur ",3,1,0,0,1,100.0,,,100,0.0,,,0,,,,,,,,,141.0,81.0,173.0,121.0,78.0,48.0,,,392,250,642
"Maharshi Dayanand University, Rohtak ",130,5,8,0,13,1110.0,2010.0,,3120,1136.0,2053.0,,3189,0.0,0.0,25.0,30.0,2275.0,4669.0,21674.0,35056.0,15.0,79.0,329.0,946.0,96.0,427.0,191.0,174.0,24605,41381,65986
"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha ",42,2,1,1,4,272.0,155.0,32.0,459,272.0,115.0,16.0,403,1.0,0.0,53.0,23.0,255.0,188.0,2.0,0.0,112.0,49.0,5.0,5.0,4.0,1.0,,,432,266,698
"Mahatama Gandhi Gramodaya Vishwavidyalaya, Chitrakoot, Satna ",63,1,1,0,2,60.0,108.0,,168,51.0,187.0,,238,9.0,5.0,25.0,2.0,2738.0,39.0,1466.0,84.0,127.0,0.0,285.0,0.0,,,,,4650,130,4780
"Mahatama Jyotiba Phule Rohikhand University, Bareilly ",46,3,2,0,5,645.0,339.0,,984,615.0,288.0,,903,34.0,29.0,17.0,8.0,3941.0,8705.0,47510.0,53699.0,78.0,46.0,50.0,2.0,22.0,20.0,293.0,85.0,51945,62594,114539
"Mahatma Gandhi Kashi Vidyapeeth, Varanasi ",24,3,1,0,4,248.0,54.0,,302,248.0,54.0,,302,0.0,0.0,,,2150.0,2291.0,7231.0,10222.0,62.0,34.0,,,,,,,9443,12547,21990
"Mahatma Gandhi University, Kottayam ",87,1,1,2,4,117.0,84.0,130.0,331,117.0,84.0,130.0,331,26.0,54.0,23.0,31.0,2034.0,4436.0,10155.0,17911.0,3.0,25.0,0.0,0.0,74.0,54.0,93.0,55.0,12408,22566,34974
"Mahatma Jyoti Rao Phoole University, Jaipur ",33,1,1,0,2,125.0,125.0,,250,120.0,125.0,,245,35.0,8.0,,,124.0,142.0,913.0,731.0,,,,,,,34.0,10.0,1106,891,1997
"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal ",28,0,1,0,1,,45.0,,45,,45.0,,45,,,,,874.0,1465.0,6709.0,3159.0,12218.0,10812.0,5597.0,2395.0,,,,,25398,17831,43229
"Malviya National Institute of Technology, Jaipur ",35,9,2,0,11,2452.0,628.0,,3080,2396.0,595.0,,2991,3.0,6.0,,,150.0,71.0,391.0,59.0,,,,,,,,,544,136,680
"Manav Bharti University, Sultanpur, Solan ",39,1,1,0,2,150.0,100.0,,250,30.0,25.0,,55,,,,,117.0,34.0,183.0,40.0,,,183.0,23.0,,,,,483,97,580
"Manav Rachna International University, Faridabad ",42,2,3,0,5,325.0,359.0,,684,279.0,236.0,,515,0.0,0.0,,,217.0,164.0,0.0,0.0,,,0.0,0.0,,,,,217,164,381
"Mangalayatan University, Aligarh ",41,1,1,0,2,500.0,155.0,,655,460.0,143.0,,603,0.0,0.0,4.0,10.0,145.0,42.0,1548.0,323.0,,,12.0,5.0,,,157.0,33.0,1866,413,2279
"Mangalore University, Mangalore ",71,1,1,1,3,278.0,358.0,316.0,952,321.0,358.0,291.0,970,37.0,17.0,,,1876.0,2346.0,6717.0,10747.0,109.0,124.0,61.0,56.0,47.0,71.0,5.0,50.0,8852,13411,22263
"Manipal Academy of Higher Education, Manipal ",21,1,1,0,2,7989.0,5996.0,,13985,7041.0,5169.0,,12210,4.0,3.0,3.0,10.0,940.0,639.0,1671.0,1020.0,1.0,8.0,9.0,9.0,64.0,57.0,,,2692,1746,4438
"Manipur University, Imphal ",52,3,2,0,5,345.0,287.0,,632,280.0,273.0,,553,50.0,37.0,0.0,5.0,401.0,583.0,9594.0,9728.0,1.0,5.0,79.0,31.0,49.0,88.0,0.0,0.0,10174,10477,20651
"Manonmaniam Sundaranar University, Tirunelveli ",130,1,1,0,2,216.0,252.0,,468,57.0,252.0,,309,31.0,28.0,114.0,668.0,1815.0,3757.0,5355.0,11333.0,31.0,7.0,0.0,0.0,6.0,74.0,19.0,23.0,7371,15890,23261
"Martin Luther Christian University, Shillong ",24,2,1,0,3,19.0,22.0,,41,14.0,18.0,,32,1.0,2.0,,,55.0,88.0,88.0,99.0,10.0,13.0,,,,,,,154,202,356
"MATS University, Raipur ",38,2,1,0,3,300.0,300.0,,600,149.0,42.0,,191,1.0,0.0,,,45.0,37.0,109.0,140.0,11.0,8.0,,,,,,,166,185,351
"Maulana Azad National Institute of Technology, Bhopal ",50,8,3,0,11,1465.0,375.0,,1840,1421.0,344.0,,1765,94.0,0.0,,,223.0,68.0,532.0,116.0,,,,,,,,,849,184,1033
"Maulana Azad National Urdu University, Hyderabad ",54,2,1,0,3,550.0,250.0,,800,550.0,250.0,,800,2.0,1.0,14.0,25.0,2354.0,1894.0,3830.0,3320.0,,,456.0,122.0,35.0,18.0,,,6691,5380,12071
"Meenakshri Academy of Higher Education and Research, Chennai ",26,1,5,7,13,82.0,612.0,988.0,1682,80.0,505.0,690.0,1275,2.0,8.0,,,29.0,41.0,517.0,457.0,,,,,,,,,548,506,1054
