Institution,Courses,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total,Level - Ph.D - Male,Level - Ph.D - Female,Level - M.Phil - Male,Level - M.Phil - Female,Level - Post Graduate - Male,Level - Post Graduate - Female,Level - Under Graduate - Male,Level - Under Graduate - Female,Level - PG Diploma - Male,Level - PG Diploma - Female,Level - Diploma - Male,Level - Diploma - Female,Level - Certificate - Male,Level - Certificate - Female,Level - Integrated - Male,Level - Integrated - Female,Level - Total - Male,Level - Total - Female,Grand Total
"Tata Institute of Fundamental Research, Mumbai ",7,0,0,3,3,,,274.0,274,,,274.0,274,17.0,5.0,,,1.0,6.0,,,,,,,,,1.0,0.0,19,11,30
"Tata Institute of Social Sciences, Mumbai ",18,5,4,1,10,609.0,364.0,8.0,981,609.0,364.0,8.0,981,,,,,206.0,245.0,23.0,10.0,,,,,,,,,229,255,484
"Teerthanker Mahaveer University, Moradabad ",56,1,1,0,2,1450.0,1250.0,,2700,1200.0,1000.0,,2200,0.0,0.0,,,203.0,72.0,211.0,232.0,10.0,2.0,21.0,1.0,4.0,6.0,0.0,0.0,449,313,762
"Telangana University, Nizamabad ",18,2,2,0,4,470.0,312.0,,782,297.0,118.0,,415,,,,,491.0,200.0,1282.0,1485.0,,,,,,,0.0,0.0,1773,1685,3458
"TERI School of Advanced Studies, New Delhi ",6,0,1,0,1,,48.0,,48,,48.0,,48,,,,,111.0,125.0,,,11.0,1.0,,,,,,,122,126,248
"Tezpur University, Tezpur ",53,4,6,0,10,1550.0,1017.0,,2567,1209.0,982.0,,2191,22.0,10.0,,,197.0,207.0,60.0,17.0,6.0,9.0,,,11.0,0.0,0.0,0.0,296,243,539
"Thapar Institute of Engineering and Technology, Patiala ",35,6,3,0,9,2550.0,878.0,,3428,2676.0,814.0,,3490,21.0,9.0,0.0,0.0,345.0,228.0,526.0,100.0,,,,,,,0.0,0.0,892,337,1229
"The English and Foreign Languages University, Hyderabad ",38,2,2,0,4,760.0,464.0,,1224,695.0,439.0,,1134,28.0,19.0,62.0,58.0,237.0,412.0,71.0,65.0,158.0,267.0,,,,,,,556,821,1377
"The Global Open University Nagaland, Dimapur ",100,1,1,0,2,100.0,100.0,,200,0.0,0.0,,0,,,,,3112.0,1896.0,1931.0,1062.0,0.0,0.0,7.0,8.0,,,,,5050,2966,8016
"The Institute of Chartered Financial Analysts of India University, Agartala ",1,1,1,0,2,580.0,200.0,,780,358.0,73.0,,431,,,,,,,258.0,143.0,,,,,,,,,258,143,401
"The Rajiv Gandhi National University of Law, Patiala ",3,3,3,0,6,272.0,178.0,,450,247.0,152.0,,399,0.0,0.0,,,0.0,1.0,,,,,,,,,52.0,21.0,52,22,74
"The West Bengal National University of Juridicial Sciences, Kolkata ",5,1,1,0,2,294.0,257.0,,551,294.0,257.0,,551,0.0,1.0,1.0,0.0,3.0,9.0,54.0,39.0,26.0,13.0,,,,,,,84,62,146
"Tilak Maharashtra Vidyapeeth, Pune ",125,1,1,0,2,56.0,96.0,,152,56.0,80.0,,136,0.0,0.0,0.0,0.0,683.0,519.0,2378.0,1249.0,4.0,0.0,241.0,188.0,338.0,92.0,,,3644,2048,5692
"T.M. Bhagalpur University, Bhagalpur ",68,5,2,0,7,800.0,300.0,,1100,800.0,300.0,,1100,429.0,123.0,,,1891.0,861.0,8294.0,4207.0,,,,,,,,,10614,5191,15805
"Tripura University, Agartala ",61,1,1,0,2,80.0,80.0,,160,79.0,75.0,,154,10.0,3.0,,,527.0,491.0,4676.0,6006.0,49.0,35.0,284.0,243.0,,,,,5546,6778,12324
"Tumkur University, Tumkur ",16,2,2,0,4,220.0,80.0,,300,160.0,43.0,,203,,,,,745.0,500.0,5471.0,7704.0,,,,,,,44.0,9.0,6260,8213,14473
"University of Agricultural Sciences, Bangalore ",7,2,2,1,5,558.0,464.0,58.0,1080,775.0,670.0,41.0,1486,72.0,40.0,,,224.0,162.0,283.0,228.0,,,40.0,59.0,,,,,619,489,1108
"University of Agricultural Sciences, Dharwad ",34,14,6,1,21,1251.0,584.0,28.0,1863,1261.0,744.0,10.0,2015,30.0,38.0,,,264.0,212.0,851.0,701.0,,,160.0,65.0,,,,,1305,1016,2321
"University of Agricultural Sciences, Raichur ",4,3,1,1,5,330.0,100.0,60.0,490,330.0,100.0,60.0,490,,,,,40.0,26.0,113.0,20.0,,,,,,,,,153,46,199
"University of Allahabad, Allahabad ",116,10,5,5,20,2032.0,915.0,1068.0,4015,1729.0,590.0,875.0,3194,89.0,50.0,,,2426.0,18.0,7062.0,9110.0,112.0,107.0,49.0,33.0,800.0,689.0,417.0,0.0,10955,10007,20962
University of Delhi ,275,9,6,2,17,1141.0,817.0,98.0,2056,1088.0,803.0,110.0,2001,137.0,198.0,120.0,145.0,2163.0,2604.0,57940.0,26634.0,214.0,260.0,282.0,223.0,183.0,293.0,,,61039,30357,91396
"University of Hyderabad, Hyderabad ",133,11,7,0,18,2628.0,1255.0,,3883,10989.0,6993.0,,17982,0.0,0.0,0.0,0.0,470.0,269.0,0.0,0.0,245.0,87.0,,,,,48.0,25.0,763,381,1144
"University of Jammu, Jammu Tawi ",101,4,3,0,7,465.0,435.0,,900,343.0,416.0,,759,30.0,30.0,44.0,14.0,3888.0,940.0,10565.0,14556.0,6.0,39.0,,,,,,,14533,15579,30112
"University of Kashmir, Srinagar ",158,3,2,0,5,450.0,456.0,,906,452.0,389.0,,841,0.0,0.0,0.0,0.0,2233.0,2264.0,17208.0,18930.0,90.0,41.0,73.0,49.0,,,236.0,234.0,19840,21518,41358
"University of Patanjali, Patanjali Yogpeeth, Haridwar ",6,1,1,0,2,500.0,500.0,,1000,112.0,75.0,,187,,,,,33.0,16.0,0.0,0.0,17.0,14.0,,,,,,,50,30,80
"Utkal University, Bhubaneswar ",77,6,5,0,11,1365.0,765.0,,2130,1365.0,737.0,,2102,118.0,41.0,77.0,113.0,564.0,691.0,2991.0,5366.0,,,,,,,,,3750,6211,9961
"Utkal University of Culture, Bhubaneswar ",6,1,1,0,2,100.0,100.0,,200,0.0,0.0,,0,,,,,116.0,87.0,44.0,55.0,,,,,,,,,160,142,302
"UTTARAKHAND UNIVERSITY OF HORTICULTURE AND FORESTRY, BHARSAR ",1,1,1,0,2,77.0,45.0,,122,60.0,44.0,,104,,,,,,,0.0,0.0,,,,,,,,,0,0,0
"Uttar Banga Krishi Vishwavidyalaya, Cooch Behar ",7,3,1,0,4,197.0,20.0,,217,195.0,20.0,,215,2.0,1.0,,,8.0,0.0,43.0,19.0,,,,,,,,,53,20,73
UTTAR PRADESH VIKLANG UDDHAR DR SHAKUNTALA MISRA UNIVERSITY ,15,1,1,0,2,42.0,42.0,,84,11.0,37.0,,48,,,,,28.0,38.0,76.0,75.0,,,,,,,,,104,113,217
"Veer Bahadur Singh Purvanchal University, Jaunpur ",4,4,2,1,7,810.0,200.0,50.0,1060,550.0,190.0,25.0,765,7.0,16.0,,,1057.0,1330.0,5583.0,7197.0,,,45.0,41.0,21.0,24.0,,,6713,8608,15321
"Veer Kunwar Singh University, Arrah ",43,0,1,0,1,,60.0,,60,,0.0,,0,0.0,0.0,,,1796.0,1174.0,57616.0,38804.0,,,,,,,,,59412,39978,99390
"Veer Narmad South Gujarat University, Surat ",78,7,5,0,12,331.0,371.0,,702,325.0,447.0,,772,4.0,2.0,9.0,7.0,1860.0,3661.0,19509.0,26127.0,43.0,67.0,7.0,156.0,,,53.0,102.0,21485,30122,51607
"Veer Surendra Sai University of Technology, Sambalpur ",36,5,3,0,8,1040.0,500.0,,1540,1195.0,601.0,,1796,0.0,0.0,,,70.0,20.0,199.0,76.0,,,,,,,,,269,96,365
"Vellore Institute of Technology, Vellore ",53,15,4,0,19,9770.0,3500.0,,13270,7659.0,2989.0,,10648,40.0,24.0,,,1695.0,985.0,6420.0,2095.0,,,,,,,780.0,854.0,8935,3958,12893
"Vesveswaraiah Technological University, Belgaum ",12,3,2,0,5,225.0,150.0,,375,221.0,150.0,,371,184.0,31.0,,,6398.0,4263.0,39157.0,20743.0,0.0,0.0,,,,,345.0,1.0,46084,25038,71122
"Vidya Sagar University, Midnapore ",76,1,1,0,2,172.0,165.0,,337,172.0,165.0,,337,35.0,9.0,3.0,3.0,4353.0,4437.0,20838.0,16607.0,48.0,24.0,204.0,98.0,142.0,40.0,16.0,9.0,25639,21227,46866
"Vijayanagara Sri Krishnadevaraya University, Bellary ",11,0,1,0,1,,200.0,,200,,119.0,,119,0.0,0.0,0.0,0.0,375.0,162.0,3638.0,2857.0,0.0,0.0,,,,,,,4013,3019,7032
"Vikram Simhapuri University, Nellore ",11,1,1,0,2,200.0,100.0,,300,71.0,50.0,,121,0.0,0.0,,,1433.0,1096.0,5942.0,5240.0,,,,,,,0.0,0.0,7375,6336,13711
"Vikram University, Ujjain ",100,3,1,1,5,300.0,100.0,36.0,436,297.0,100.0,4.0,401,88.0,72.0,125.0,164.0,1822.0,2037.0,13316.0,15798.0,71.0,32.0,43.0,19.0,11.0,18.0,,,15476,18140,33616
"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM ",217,1,1,0,2,192.0,288.0,,480,192.0,288.0,,480,114.0,46.0,0.0,1.0,15980.0,7462.0,22019.0,9790.0,811.0,438.0,2048.0,709.0,189.0,202.0,0.0,0.0,41161,18648,59809
"Vinayaka Missions Sikkim University, Tadong ",12,0,1,0,1,,60.0,,60,,45.0,,45,,,,,,,61.0,48.0,,,3.0,24.0,,,,,64,72,136
"Vinoba Bhave University, Hazaribagh ",24,1,3,0,4,100.0,200.0,,300,96.0,40.0,,136,,,,,719.0,808.0,12858.0,8076.0,,,,,73.0,57.0,,,13650,8941,22591
"Visva Bharati, Shantiniketan ",183,14,13,0,27,1284.0,1102.0,,2386,1284.0,1102.0,,2386,65.0,41.0,7.0,9.0,364.0,308.0,298.0,276.0,,,1.0,0.0,82.0,92.0,0.0,0.0,817,726,1543
"Visvesvaraya National Institute of Technology, Nagpur ",29,8,5,0,13,2396.0,1112.0,,3508,1872.0,1116.0,,2988,,,,,144.0,29.0,363.0,99.0,,,,,,,,,507,128,635
"West Bengal State University, Kolkata ",34,1,1,0,2,100.0,100.0,,200,0.0,0.0,,0,,,,,632.0,644.0,12376.0,13134.0,,,,,18.0,8.0,,,13026,13786,26812
"West Bengal University of Animal and Fishery Sciences, Kolkata ",55,7,3,0,10,669.0,180.0,,849,439.0,141.0,,580,2.0,0.0,,,40.0,19.0,70.0,20.0,,,,,,,,,112,39,151
"West Bengal University of Technology, Kolkata ",11,0,1,0,1,,8.0,,8,,8.0,,8,11.0,0.0,,,2860.0,1205.0,23371.0,7098.0,1.0,7.0,28.0,8.0,,,6.0,2.0,26277,8320,34597
"Yenepoya University, Mangalore ",1,1,1,0,2,716.0,1618.0,,2334,562.0,1229.0,,1791,0.0,0.0,,,41.0,35.0,28.0,113.0,,,,,,,,,69,148,217
