Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
Haindavi Degree College (Id: C-25534),21,16,0,0,0,0,0,0,0,0,1,0,0,0
Haji Anfor Ali College (Id: C-17284),19,2,0,0,0,0,0,1,0,0,18,0,0,0
Haji Jamaluddin Thim TrustTheem College of Engineering At Village Betegaon Boisar Chikhar Road (N.H.No.8) Near Union Park Boisar(E) Tal Palghar Dist. Thane 401 501 (Id: C-34018),62,29,3,2,1,3,4,3,0,0,18,2,0,0
"Haji Mohammad Khasim Saheb & Mohammad Galab Saheb College of Engineering, Kanagala, Cherukupalli Mandal, PIN- 522259(CC-2F) (Id: C-18126)",46,9,12,1,0,0,11,2,0,0,5,1,0,0
"Hakeem Harbans Singh New Era College of Education, Sant Nagar, Rania (Id: C-22412)",6,2,0,0,0,0,0,1,0,0,0,0,0,0
"Hakim Mahtabuddin Hashmi Law College, Amroha (Id: C-13426)",11,2,2,1,0,0,3,0,0,0,6,1,5,1
"Halabavi School of Arts, Dharwad (Id: C-26690)",5,2,0,0,0,0,0,0,0,0,0,0,0,0
Haldia Government College (Id: C-19049),35,16,7,2,1,0,4,1,0,0,1,0,0,0
Haldia Institute of Management 175-WBUT (Id: C-6320),9,1,0,0,0,0,0,0,0,0,0,0,0,0
Haldia Institute of Technology 103-ENGG (Id: C-6238),172,69,11,5,0,0,4,2,0,0,0,0,0,0
Haldia Inst. of Maritime Studies & Research 179-WBUT (Id: C-6285),13,1,0,0,0,0,0,0,0,0,0,0,0,0
Haldia Law College (Id: C-19089),14,4,0,0,0,0,0,0,0,0,0,0,0,0
"HALIM MUSLIM P.G. COLLEGE, (Id: C-12570)",20,4,0,0,0,0,0,0,0,0,18,3,0,0
Hallmark Business School (Id: C-25061),12,4,0,1,0,0,9,3,0,0,0,0,0,0
Hamidabat College (Id: C-17247),52,4,0,2,0,0,0,0,0,0,52,4,0,0
Hamidia Girls Degree College (Id: C-36467),0,26,0,0,0,0,0,1,0,0,0,24,0,0
"Hamirpur College of Education, Ward No. 10. Ram Nagar, Choulla, Hamirpur (Id: C-11283)",0,8,0,1,0,0,0,0,0,0,0,0,0,0
"Hampi Lalitakala Mahavidyalaya, Hospet (Id: C-26709)",3,1,1,0,0,0,0,0,0,0,0,0,0,0
"Hampi Virupaksheshwara Swamy College,Vidyaranya (Post) (Id: C-8586)",3,4,0,0,2,0,1,3,0,0,0,0,0,0
"Hanagal Taluk Shikshna Sanghas B.B.A College, Narasinga Nagar Akki-Alur Tq Hanagal (Id: C-35478)",5,2,1,0,0,0,4,2,0,0,2,0,0,0
Handa College of Education (Id: C-22929),2,13,0,0,0,0,0,0,0,0,0,0,0,0
"Handia P.G.College,Handia,Allahabad (Id: C-15828)",69,11,1,1,0,0,2,1,1,0,1,0,0,0
Handique Girl's College (Id: C-17196),33,56,2,2,3,3,5,0,0,0,2,3,0,0
Hanna College Of Education (Id: C-24110),8,0,2,0,0,0,4,0,0,0,0,0,0,0
Hannamma Christial College of Education (Id: C-30287),4,3,2,1,0,0,2,0,0,0,0,0,0,0
HANSABA COLLEGE OF ENGINEERING & TECHN(098) SIDDHPUR (Id: C-45059),14,5,2,0,0,0,3,1,0,0,0,0,0,0
Hans Raj College (Id: C-6425),63,77,11,6,1,2,6,5,0,0,NA,NA,NA,NA
Hansraj Jivandas College of Education Samshodhan Sadan Junction of 16th and 17th Road Khar Mumbai-400 052 (Id: C-33762),1,10,0,0,0,0,0,0,0,0,0,0,0,0
"HANUMANT MAHAVIDYALAYA, LAHURPUR, HANUMANGANJ, (Id: C-12197)",7,1,1,0,0,0,2,0,0,0,0,0,0,0
"Hanuman Vyayam Shala Krida Mandal's Physical Education College, Yavatmal. (Id: C-43065)",7,1,1,0,0,0,0,0,0,0,0,0,0,0
"Hanumat Sanskrit Mahavidyalaya, Hanuman Gahri, Ayodhya (Id: C-20402)",8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanumat Sanskrit Mahavidyalaya, Hathibarani, (Id: C-20263)",4,0,0,0,0,0,0,0,0,0,0,0,0,0
Happy Valley Business School (Id: C-36939),6,4,0,0,0,0,0,0,0,0,0,0,0,0
"Harbansh Dayaprakash Shyamadevi Mahavidyalaya, Dhavarsi (Id: C-13389)",8,1,2,0,0,0,2,0,0,0,0,1,0,0
"Harda Adarsh College, Harda (Id: C-35316)",27,16,4,3,3,0,8,6,0,0,0,0,0,0
"Harda Degree College, Manpura Chowk, Harda (Id: C-35326)",13,13,1,2,0,0,5,1,0,0,0,0,0,0
HARDAYAL TECHNICAL CAMPUS MATHURA (Id: C-46306),29,6,1,0,0,0,11,2,0,0,0,0,0,0
"Hardyal B.Ed. College, Harpalpur, Chhatarpur (Id: C-19195)",9,0,3,0,0,0,5,0,0,0,NA,NA,NA,NA
"Harhi College P.O. Harhi, Dhakuakhana (Id: C-8362)",42,26,0,0,2,0,40,26,0,0,0,0,0,0
HARIBAPA CHARITABLE TRUST ARTS & COMMERCE COLLEGE-JASDAN (Id: C-751),13,8,4,0,0,0,1,2,1,0,0,0,0,0
"Hari Bhau Upadhyaya Mahila Shikshak Prashikshan Mahavidyalaya, Hatundi (Id: C-13079)",4,10,1,0,0,0,0,5,0,0,0,0,0,0
Hari Gayatri Das College (Id: C-17234),6,8,0,0,0,0,1,1,0,0,NA,NA,NA,NA
Hari Jyot College of Optometry (Id: C-665),3,1,0,0,0,0,0,1,0,0,0,0,0,0
"Hari-Mangal Mahavidyalaya, Bilari (Id: C-13345)",4,6,0,1,0,0,1,0,0,0,0,0,0,0
Harimohan Ghosh College (Id: C-11864),13,29,0,0,0,0,1,1,0,0,2,4,0,0
"Harinarayan Adarsh Sanskrit Mahavidyalaya, Jagapur Bhaupur (Id: C-20032)",8,0,1,0,0,0,1,0,0,0,0,0,0,0
"Harinarayan Singh Institute of Teachers Education, Sasaram (Id: C-36588)",12,5,1,0,0,0,2,4,0,0,NA,NA,NA,NA
Haringhata Mahavidyalaya (Id: C-7091),17,14,0,0,0,0,0,0,2,0,0,0,0,0
"HARI OM PHARMACY COLLEGE, (222)AMBAV (Id: C-204)",10,3,0,0,0,0,0,0,0,0,0,0,0,0
Hari Om Shiv Om College of Education (Id: C-10824),13,4,1,0,0,0,2,2,0,0,0,0,0,0
"Hari Ram College, Mairwa (Id: C-19498)",9,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA
"Hariram Satyanarayan Institute of Higher Education, Islam Nagar (Id: C-36329)",8,3,0,0,0,0,0,0,0,0,0,0,0,0
Harishchandrapur College (Id: C-42696),9,3,1,0,0,0,0,0,0,0,7,0,0,0
Hari Singh Arya College (Id: C-22488),9,9,1,2,0,0,2,0,0,0,0,0,0,0
HARI VANDANA COLLEGE-RAJKOT (Id: C-1022),17,17,0,0,2,0,4,2,0,1,0,0,0,0
"Harkamaya College of Education, 6th mile, Samdur (Id: C-6595)",6,14,0,0,0,1,1,4,0,0,4,0,0,2
"HARLAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY, GREATER NOIDA (Id: C-46230)",25,16,0,0,0,0,6,3,0,0,3,0,1,0
"Harnamdas Lekhraj Institute of Education, Chak 24, B.B. (Id: C-36867)",5,3,0,0,0,0,3,2,0,0,0,0,0,0
"HARPRATAP SINGH YADAV MAHAVIDYALAYA, HANDIYA, (Id: C-12380)",9,4,0,0,0,0,5,1,0,0,0,0,0,0
"HARSAHAI P.G. COLLEGE, (Id: C-12333)",15,12,0,0,0,0,0,2,0,0,0,0,0,0
Harsha College of Nursing (Id: C-40188),3,25,0,0,0,0,0,8,0,0,0,2,0,2
Harshini Degree College (Id: C-25989),8,4,0,0,0,0,0,0,0,0,0,0,0,0
Harsitha Group of Institutions (Id: C-19815),66,25,14,6,5,0,10,3,0,0,2,0,0,0
Harur Muthu Arts & Science College for Women (Id: C-9502),23,11,10,3,0,0,13,7,0,0,0,0,0,0
Harvard College of Education (Id: C-30794),1,18,0,0,0,0,0,0,0,0,0,0,0,0
"Harward Institute of Management & Science, Dasanapura Village, Bangalore Tumkur Highway, Bangalore Noth (Id: C-20818)",7,7,0,0,0,0,0,1,0,0,0,0,0,0
Haryana College of Education (Id: C-10882),7,5,0,0,0,0,5,0,0,0,NA,NA,NA,NA
"Haryana College of Education, Dhani Bachan Singh, Ellenabad (Id: C-22436)",6,5,0,0,0,0,0,1,0,0,0,0,2,3
"Haryana College of Technology & Management, Ambala Road (Id: C-15802)",119,42,1,0,0,0,15,4,0,0,0,0,0,0
"Hasanamba College of Education, Hassan (Id: C-17477)",5,2,1,0,0,0,2,0,0,0,0,0,0,0
"Hashmi Mahila Mahavidyalaya, Amroha (Id: C-13365)",41,45,3,7,0,0,19,20,0,0,1,14,0,0
Hashvitha P.G College (Id: C-26028),7,5,2,1,0,0,1,2,0,0,0,0,0,0
"HASMUKH GOSWAMI COLLEGE OF ENGG(024), VAHELAL (Id: C-93)",63,38,8,6,3,1,8,4,0,1,NA,NA,NA,NA
Hasmukh Goswami College of Engineering(SFI)-(718)Vehlal Dahegam (Id: C-342),3,4,0,0,0,0,1,0,0,0,0,0,0,0
"Hasnath Academy of Management Studies, No.43, Dickenson Road, Bangalore-42 (Id: C-20984)",0,7,0,0,0,0,0,0,0,0,0,2,0,0
"Hasnath College for Women, 43, Dickenson Road, Bangalore-42 (Id: C-20702)",11,29,0,0,0,0,0,0,0,0,2,20,0,0
"Hasnath College, No.8/3, Byraveshwara Layout, Hennur Bande, Kalayanagar, Bangalore -43 (Id: C-21152)",1,1,0,0,0,0,1,0,0,0,1,0,0,0
"Hasnath Evening College, No.52, Stations Road, Prazer Town, Bangalore-5 (Id: C-21244)",8,1,0,0,0,0,8,1,0,0,0,0,0,0
Hassan Institute of Medical Sciences (Id: C-40164),108,39,11,3,2,1,38,13,0,0,1,1,0,0
Hatichong College (Id: C-17207),11,8,0,2,0,0,2,2,0,0,4,0,0,0
"Havanur College of Law, Bangalore (Id: C-9840)",2,5,0,2,0,1,2,1,0,0,0,0,0,0
"Hawabah Women's College, Jabalpur (Id: C-33460)",14,41,0,1,0,1,4,0,0,0,0,2,0,7
"Hawaharlal Nehru Memorial College, Ghorasahan (Id: C-18995)",11,0,0,0,0,0,0,0,0,0,0,0,0,0
Hazarath Ameeruddin College of Education (Id: C-39272),8,0,2,0,0,0,1,0,0,0,0,0,0,0
"HAZARI LAL MAHAVIDYALAYA, PAHADAPUR, (Id: C-12575)",14,6,2,1,0,0,2,3,0,0,0,0,0,0
"HAZI MAZARUDDIN MAHAVIDYALAYA, DUNDWA, GURSAHAIGANJ, (Id: C-12069)",8,2,0,0,0,0,1,1,0,0,0,0,0,0
"HAZI TAUFIQ ALI MAHAVIDYALAYA, GUNHA, GUGRAPUR, (Id: C-12182)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H.B. College, Vijay Nagar, Jabalpur (Id: C-33357)",4,8,0,0,0,0,2,2,0,0,0,0,0,0
H. B. Kapadia College of Education (Id: C-6010),3,12,0,0,0,1,0,1,0,0,0,1,0,0
"H. B. Patel Institute of Diploma Engineering & Technology, (676)Limbodara, Lunavada (Id: C-184)",19,1,0,0,0,0,0,0,0,0,0,0,0,0
"HCBM First Grade College, Jagalur (Id: C-42248)",18,1,1,0,3,0,13,1,0,0,0,0,0,0
"H.C. College, Bhanpura (Id: C-31677)",11,7,0,0,0,0,1,1,0,0,0,0,0,0
H.C.D.C. College P.O. Nitaipkhuri-785671 (Id: C-8389),13,10,0,2,1,2,8,6,0,0,0,0,0,0
H D Devegowda Co - Operative College of Nursing (Id: C-40202),7,0,0,0,0,0,0,0,1,0,0,0,0,0
"H.D. Jain College, Ara (Id: C-27145)",61,7,4,0,0,0,15,1,0,0,4,0,NA,NA
"H.D.JOSHI GOVT.GIRLS, COLLEGE (Id: C-40028)",7,10,2,0,1,2,2,0,0,0,0,0,0,0
"HDPY College of Education, Mattupuram P.O., Mannam, Ernakulam 683 520 (Id: C-11740)",0,9,0,0,0,0,0,8,0,0,0,0,0,0
Heardtland College of Nursing (Id: C-40590),3,14,1,0,0,0,0,0,0,0,0,0,0,0
"Hebbur Mahavidyalaya, Bhadravathi. (Id: C-17841)",7,4,1,0,0,0,2,4,0,0,0,2,0,0
"Heera College of Engineering and Technology, Panavoor, Nedumangad (Id: C-43639)",18,20,0,0,0,0,10,8,0,0,0,0,0,0
"Helapuri Institute of Technology & Science,Vegavaram, Denduluru Mandalam, Eluru, PIN- 534 450 (CC-7E) (Id: C-17984)",49,20,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Helioj College, Ujjain (Id: C-31742)",1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Hellen Keller's Instiute of Mentally Desiabled (Id: C-25479),6,10,1,1,0,0,3,4,0,0,0,0,0,0
Hemadri Institute of Management Studies (Id: C-6972),3,2,2,2,0,0,1,0,0,0,0,0,0,0
HEMUJI CHANDELE COLLEGE SHELGAON R TAL.BARSHI DIST. SOLAPUR. (Id: C-15739),12,2,1,1,2,0,3,0,0,0,0,0,0,0
"HEMWATI NANDAN BAHUGUNA RAJKIYA MAHAVIDYALAYA, NAINI, (Id: C-12232)",22,16,1,2,0,0,4,2,2,1,1,1,0,0
"Henry Baker College, Melukavu, Melukavumattom P.O.-686 652 (Id: C-11825)",14,12,0,0,0,2,1,2,0,0,0,0,0,0
Heramba Chandra College (Id: C-11974),25,37,0,0,0,0,0,0,0,0,0,0,0,0
Heritage Institute of Technology 126-ENGG (Id: C-6202),90,56,2,0,0,0,1,0,0,0,2,0,0,0
H. & H.B. KOTAK INSTITUTE OF SCIENCE RAJKOT (Id: C-731),10,5,1,0,0,0,4,0,0,0,1,0,0,0
"HHMSPB NSS College for Women, Neeramankara, Thiruvananthapuram (Id: C-43645)",1,74,0,0,0,0,0,0,0,0,0,0,0,0
"H.H. The Rajah's College, Pudukkottai - 622 001. (Id: C-35871)",82,20,32,11,0,0,49,8,0,0,4,1,0,0
HICT EDUCATION COLLEGE TEERUPATI MOTERS KE PASS TANSEN ROAD (Id: C-34708),13,5,0,1,0,0,1,0,0,0,0,0,0,0
"Higher & Technical Institute, Mizoram (Id: C-8302)",13,7,0,0,13,7,0,0,0,0,0,0,13,7
"Hightech college of Pharmacy, Morba (Id: C-18512)",5,5,1,2,0,0,1,3,0,0,0,0,0,0
Hijli College (Id: C-19046),29,15,2,0,0,0,0,0,0,0,1,0,0,0
Hill College (Id: C-9399),12,5,1,0,3,5,0,0,0,0,1,0,0,0
"Hills College of Teacher's Education, Naharlagun (Id: C-16289)",4,4,1,0,1,1,1,0,0,0,0,0,0,0
Hill Side College of Nursing (Id: C-40514),1,22,0,0,0,0,0,0,0,0,0,0,0,0
Hill Side College of Pharmacy (Id: C-40449),8,12,1,0,0,0,0,0,0,0,0,0,0,0
"Hill Side Institute of Mgmt., No.9, Raghuvanahalli, Kanakapura Mn. Road, Uttrahalli Hobli, Bangalore -62 (Id: C-20887)",9,7,0,0,0,0,2,4,0,0,0,1,0,0
"Hillvalley College of Education for Women, Changampuzha Nagar P.O, Thrikkakara, Kochi - 682 033 (Id: C-11739)",2,7,0,1,0,0,1,1,0,0,0,0,1,0
Hillwoods Academy of Teacher Education (English Medium) (Id: C-5980),4,3,1,1,0,0,0,0,0,0,0,0,0,0
"Himachal College of Education, Nalagarh at Kishanpura, Nalagarh, Distt Solan (Id: C-11289)",1,12,1,0,0,0,0,0,0,0,0,0,0,0
"Himachal College of Law, Kala Amb to be run Maa Saraswati Educational Trust karnal (Id: C-11450)",25,13,3,1,1,0,6,2,0,0,0,0,2,3
"Himachal Institute of Dental Sciences, Paonta Sahib, Distt. Sirmour (Id: C-11255)",45,32,2,2,0,1,1,1,0,0,0,0,0,0
"Himachal Institute of Education, Bye Pass Road, Near Petrol Pump, Amar Building. Solan (Id: C-11285)",2,4,1,0,0,0,0,0,0,0,0,0,0,0
"Himachal Institute of Engg. & Tech. Vidya Nagar, Shahpur, Kangra (Id: C-11367)",13,3,1,0,0,0,3,0,0,0,0,0,0,0
"Himachal Institutes of Life Sciences, Paonta Sahib, Sirmour (Id: C-11370)",8,5,0,0,0,0,1,0,0,0,0,0,0,0
"Himachal Institutes of Pharmacy, Paonta Sahib, Distt Sirmour (Id: C-11425)",10,7,0,0,0,0,1,0,0,0,0,0,0,0
"Himachal Pradesh College of Education, Kala Amb, Distt Sirmour (Id: C-11513)",5,8,0,2,0,2,0,1,0,0,0,1,0,0
"Himaja Degree College, Puttur Rural (Id: C-27676)",19,1,2,0,0,0,2,1,0,0,1,0,0,0
"Himalayan College of Education, Pungh, Sundernagar, Distt Mandi (Id: C-11445)",3,4,1,0,0,0,0,0,0,0,0,0,0,0
"Himalayan Institute of Engineering & Technology, Sadhoura Road, Kala Amb. Distt Sirmour (Id: C-11372)",30,19,2,1,0,0,5,3,0,0,0,0,1,1
Himalayan Institute of Pharmacy & Research (Id: C-21294),17,7,0,0,0,0,0,0,0,0,0,0,0,0
"Himalayan Institutes of Computer Sciences, Sadhoura Roah, Kala Amb, Distt Sirmour (Id: C-11277)",3,5,0,0,0,0,0,1,0,0,0,0,0,0
"Himalayan Institutes of Management Sadhoura Road, Kala Amb, Distt Sirmour (Id: C-11323)",9,8,0,1,0,0,2,0,0,0,0,0,0,1
"Himalayan Institutes of Pharmacy, Sadoura Road, Kala Amb. Distt Sirmour (Id: C-11496)",8,9,1,3,0,0,1,0,0,0,1,0,1,1
"Himalayan Pharmacy Institute, Majhitar (Id: C-6594)",54,6,8,0,0,0,13,2,0,0,2,0,0,0
"HIMCAPES Co-operative school of Legal Studies, Badhera, Distt Una (Id: C-11312)",7,5,1,1,0,0,0,0,0,0,0,0,0,0
"Himgiri Education Institute, Sikarpur, Roorkee (Id: C-24673)",7,0,0,0,0,0,3,0,0,0,0,0,0,0
"Him Institute of Education, Ponda, Tehsil Nichar, Distt Kinnaur (Id: C-11493)",8,1,0,0,7,1,0,0,0,0,0,0,0,0
"HIMT COLLEGE OF PHARMACY, GREATER NOIDA (Id: C-46784)",16,5,2,0,0,0,4,1,0,0,8,1,0,2
Hina College of Nursing (Id: C-40450),13,21,0,0,0,0,0,0,0,0,0,0,0,0
Hindi Mahavidyalaya Degree College (Id: C-25674),8,16,0,0,0,0,1,0,0,0,0,0,0,0
"Hindi Sanskrit Adarsh Mahavidyalaya, Bhairav ji, Mahrajganj (Id: C-20589)",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hindi Sanskrit Mahavidyalaya, Gagargarh, Shivapaar (Id: C-20003)",3,0,0,0,0,0,0,0,0,0,0,0,0,0
Hindi Teachers' Training College (Id: C-9396),5,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Hindi Vidya Prachar Samitis Ramniranjan Jhunjhunwala College Opp Railway Station Ghatkopar West Mumbai 400 086 (Id: C-34163),42,77,0,0,0,0,0,0,0,0,0,0,0,0
"Hindol College,Khagurikota, Dhenkanal (Id: C-39508)",25,7,0,0,0,0,13,3,0,0,0,0,0,0
Hindu College (Id: C-6377),72,63,14,1,3,1,12,1,4,1,NA,NA,NA,NA
Hindu College (Id: C-13451),65,18,4,1,1,0,13,2,0,0,1,0,0,0
"Hindu College for Girls, Sonepat. (Id: C-28400)",6,46,0,2,0,0,0,1,0,0,0,0,0,0
"Hindu College, Guntur (Id: C-32675)",60,30,5,2,2,0,8,1,0,0,0,0,0,0
Hindu College of Education (Id: C-37107),3,6,2,0,0,0,1,1,0,0,0,0,0,0
HINDU COLLEGE OF EDUCATION (Id: C-28148),3,11,0,1,0,0,0,1,0,0,0,0,0,0
Hindu College of Engineering (Id: C-19292),52,26,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"HINDU COLLEGE OF ENGINEERING AND TECHNOLOGY, Amaravathi Road, PIN-522002 (CC-2X) (Id: C-18102)",19,8,0,0,1,0,2,1,1,0,0,0,0,0
"Hindu College of Management, Guntur (Id: C-39487)",5,4,0,0,0,0,0,0,0,0,0,0,0,0
Hindu College of Pharmacy (Id: C-32798),16,15,0,0,0,0,0,0,0,0,0,0,0,0
"Hindu College, Sonepat. (Id: C-28123)",17,6,0,0,0,0,0,0,0,0,0,0,0,0
Hindu Degree College for Women (Id: C-26084),3,22,0,0,0,0,0,4,0,0,0,0,0,0
"Hindu Girls College, Jagadhri (Id: C-10888)",0,47,0,0,0,0,0,0,0,0,0,0,0,0
Hindu Institute of Management (Id: C-19304),11,10,0,0,0,0,0,0,0,0,0,0,0,0
Hindu Kanya Mahavidyalaya (Id: C-10602),0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HINDU KANYA MAHAVIDYALAYA, (Id: C-12193)",0,12,0,1,0,0,0,0,0,1,0,9,0,0
"Hindu P G College, Jamaniya, Ghazipur (Id: C-15956)",49,9,2,0,0,0,6,0,0,0,0,0,0,0
Hindu School of Architecture (Id: C-27167),2,3,0,0,0,0,1,0,0,0,0,0,0,0
"Hindustan Business School, Chennappanahalli, No.24, K.R. Puram, Bangalore-16 (Id: C-20630)",0,7,0,0,0,0,0,0,0,0,0,0,0,0
Hindustan College (Id: C-17191),7,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
HINDUSTAN COLLEGE OF ARTS AND SCIENCE (Id: C-43900),51,64,5,5,0,0,39,50,1,0,1,1,9,25
"Hindustan College of Engineering, Arippa, Kulathupuzha, Kollam (Id: C-43673)",29,31,1,0,0,0,22,20,0,0,NA,NA,NA,NA
"HINDUSTAN COLLEGE OF SCIENCE AND TECHNOLOGY, FARAH, MATHURA (Id: C-46281)",240,83,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"HINDUSTAN INSTITUTE OF MANAGEMENT AND COMPUTER STUDIES, FARAH, MATHURA (Id: C-46283)",23,11,0,0,0,0,0,0,0,0,1,0,0,0
Hindustan Institute of Technology & Management (Id: C-10580),53,12,0,0,0,0,0,0,0,0,1,0,0,0
Hindusthan College of Arts and Science (Id: C-41049),22,145,0,0,1,0,21,143,0,0,0,0,0,0
Hindusthan College of Education (Id: C-14742),0,8,0,0,0,0,0,7,0,0,0,0,0,0
Hindusthan College of Engineering and Technology (Id: C-37063),106,79,0,0,0,0,0,0,0,0,0,0,0,0
Hindusthan Institute of Technology (Id: C-37046),53,39,5,5,1,2,32,31,0,0,0,0,0,0
Hingalganj Mahavidyalaya (Id: C-43403),20,10,4,2,0,0,0,0,0,0,2,0,0,0
HIRACHAND NEMCHAND COLLEGE OF COMMERCE ASHOK CHOWK SOLAPUR DIST.SOLAPUR (Id: C-15708),18,8,3,0,0,0,0,0,0,0,0,0,3,0
"Hirakud College,Hirakud (Id: C-40908)",9,5,0,0,0,0,4,0,0,0,0,0,0,0
Hiralal Bhakat College (Id: C-44743),27,8,3,1,0,0,1,0,1,0,0,0,0,0
Hiralal Majumder Memorial College for Women (Id: C-43396),16,56,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
Hiranand College (Id: C-22485),33,7,7,0,0,0,3,1,0,0,0,0,0,0
"Hirasugar Institute of Technology, NIDASOSHI (Id: C-1409)",57,10,1,1,0,0,1,0,0,0,NA,NA,NA,NA
"Hira Women's College, Permannur Post, Babbukatte, Mangalore (Id: C-16900)",0,21,0,0,0,0,0,0,0,0,0,6,0,2
"HI-RENK BUSINESS SCHOOL NOIDA City Office- 66-D, SHIPRA SUNCITY INDIRAPURAM, GHAZIABAD (Id: C-28973)",13,9,0,0,0,0,1,0,0,0,2,1,0,0
Hirwal Education Trusts College of Science (Computer Science and Information Technology) At Mahad Dist Raigad (Id: C-34101),5,14,2,3,3,0,0,6,0,0,0,0,0,0
"Hislop College, Temple Road, Civil Lines, Nagpur (Id: C-18511)",30,24,0,0,0,0,0,0,0,0,0,0,0,0
Hi – Tech City College of Nursing (Id: C-40574),6,11,0,0,0,0,0,0,0,0,0,0,0,0
"Hi-Tech College of Engineering (HCE), Bhubaneswar (Id: C-30126)",34,19,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Hi-Tech Institute of Technology (HIT), Bhubaneswar (Id: C-30102)",76,29,0,2,0,0,0,0,0,0,1,0,0,0
HITKARI COLLEGE OF EDUCATION (Id: C-28424),3,2,0,0,0,0,1,0,0,0,0,0,0,0
"Hitkari Mahila T.T. College, Garh Palace, Kota (Id: C-19476)",1,8,0,0,0,0,0,0,0,0,0,0,0,0
"Hitkarini Arts College, Armori (Id: C-18330)",3,6,0,2,0,0,3,2,0,0,0,0,0,0
"Hitkarini Arts, science & Commerce Collgeg, Deoltal, Garha, Jabapur (Id: C-33400)",5,9,0,0,1,0,1,1,0,0,0,0,0,0
"Hitkarini College of Engineering & Technology, Jabalpur (Id: C-33351)",5,4,0,0,0,0,0,0,0,0,0,0,0,0
"Hitkarini Dental College, Jabalpur (Id: C-33330)",47,39,0,0,0,0,0,0,0,0,0,0,0,0
"Hitkarini Mahila Arts & Commerce College, Jabalpur (Id: C-33401)",2,23,0,0,0,0,0,2,0,0,0,0,0,3
"Hitkarini Training Womens College, Jabalpur (Id: C-33360)",1,10,0,1,0,0,0,0,0,0,0,0,0,0
"HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH,(085) Kera (Id: C-392)",12,12,0,0,0,0,0,0,0,0,0,0,0,0
H.J.DOSHI INFO.TECH. INSTITUTE -JAMNAGAR (Id: C-875),7,5,0,0,0,0,0,0,0,0,0,0,0,0
"HKBK Degree College (K.S.M.F First Grade College), No.6/1, Contonment Station Road, Bangalore-51 (Id: C-21035)",4,12,1,1,0,0,0,0,0,0,2,10,0,0
"H K B K Institute of Technology, BANGALORE (Id: C-1395)",61,50,1,0,2,2,34,36,0,0,33,33,3,4
HKDE’s Trust Dental College (Id: C-40115),50,0,0,0,0,0,0,0,0,0,0,0,0,0
HKES College of Nursing (Id: C-40181),13,8,0,0,0,0,0,0,0,0,0,0,0,0
HKES College of Pharmacy (Id: C-40535),107,9,0,0,0,0,0,0,0,0,3,0,0,0
HKES Homoeopathic Medical College & Hospital (Id: C-40521),31,19,0,0,0,0,0,0,2,0,0,1,0,0
HKE’s Nijalingappa Institute of Dental (Id: C-40085),37,17,1,1,0,0,2,2,0,0,1,0,0,1
"HKES Veerendrapatil Degree College,11th main, 11th Cross, Sadashivanagar, Bangalore-80 (Id: C-21032)",23,11,0,0,0,0,0,0,0,0,0,0,0,0
"H.K. Hitech College, Mehran Apartment, Sardarpura , Jodhpur (Id: C-37171)",2,7,0,0,0,0,1,2,0,0,NA,NA,NA,NA
H.K.R.H.COLLEGE (Id: C-36545),91,37,1,1,0,0,90,36,0,0,61,18,2,1
"H.K Veeranna Gowda First Grade College,Maddur (Id: C-17479)",11,1,1,0,0,0,0,0,0,0,0,0,0,0
H. L. College of Commerce (Id: C-5958),8,6,1,0,1,0,1,0,0,0,0,0,0,0
H.L DEGREE COLLEGE HARDUA GANJ ALIGARH (Id: C-15290),22,13,6,0,0,0,7,9,0,0,0,0,0,0
"H.L.G.Govt. College, Tauru (Id: C-28229)",6,5,1,1,0,0,1,1,0,0,0,0,0,0
H. L. INSTITUTE OF COMMERCE (Id: C-17),9,13,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
H.L. INSTITUTE OF COMPUTER APPLICATIONS (Id: C-16),4,6,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
H.L.PATEL ARTS & COMMERCE- BHAYAVADAR (Id: C-903),11,1,1,0,2,1,0,0,0,0,0,0,0,0
