Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
CENTRAL UNIVERSITY OF JAMMU (Id: U-0631),6,4,0,0,0,0,0,0,0,0,0,0,0,0
"Central University of Jharkhand, Ranchi (Id: U-0204)",42,6,3,1,1,1,10,0,1,0,1,0,0,0
"Central University of Karnataka, Gulbarga (Id: U-0216)",31,18,2,3,0,1,2,3,0,0,1,0,2,1
"Central University of Kashmir, Srinagar (Id: U-0193)",1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Central University of Orissa, Koraput (Id: U-0352)",9,6,1,0,0,0,0,0,0,0,0,1,0,0
"Central University of Punjab, Bathhinda (Id: U-0372)",15,5,0,0,0,0,1,1,0,0,0,0,2,2
"Central University of Rajasthan, Jaipur (Id: U-0392)",36,17,1,1,0,1,4,1,0,0,1,0,0,0
"Central University of Tamil Nadu, Tiruvarur (Id: U-0449)",14,5,0,0,0,1,4,1,0,0,0,0,0,0
"Centre for Environmental Planning and Technology University, Ahmedabad (Id: U-0127)",51,39,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
Centurion University of Technology and Management (Id: U-0353),79,26,5,1,0,0,24,3,0,0,2,0,0,0
"Chandra Shekhar Azad University of Agriculture & Technology, Kanpur (Id: U-0504)",174,4,36,0,0,0,55,1,0,0,0,0,0,0
"Chankaya National Law University, Patna (Id: U-0063)",15,3,0,0,0,0,1,0,0,0,1,0,1,0
"Charotar University of Science & Technology, Anand (Id: U-0128)",157,115,2,6,0,1,19,3,0,0,0,0,0,0
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)",209,112,30,11,0,0,42,16,0,0,0,0,0,0
"Chaudhary Charan Singh Haryana Agricultural University, Hisar (Id: U-0159)",182,23,10,0,1,0,15,2,1,0,1,0,1,1
"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur (Id: U-0179)",238,52,13,4,3,2,0,0,0,0,0,0,0,0
"Ch. Devi Lal University, Sirsa (Id: U-0160)",48,18,5,1,0,0,2,0,0,0,0,0,0,0
"Chennai Mathematical Institue, Chennai (Id: U-0450)",30,2,0,0,0,0,0,0,0,0,0,0,0,0
"Chettinad Academy of Research & Education, Kancheepuram (Id: U-0451)",1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH KAMDHENU VISHWAVIDALAYA (Id: U-0634),1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Chhattisgarh Swami Vivekanand Technical University, Bhilai (Id: U-0083)",15,1,1,0,1,0,8,0,0,0,0,0,0,0
"Children University, Gandhinagar (Id: U-0594)",5,0,0,0,0,0,1,0,0,0,0,0,0,0
"Chitkara University, Kalu Jhanda (Barotiwala), Solan (Id: U-0180)",99,98,3,3,0,0,0,0,0,0,0,0,0,0
"Chitkara University, Patiala (Id: U-0373)",109,161,0,0,0,0,0,0,0,0,0,0,0,0
"Choudhary Charan Singh University, Meerut (Id: U-0506)",220,43,10,3,0,0,15,7,1,0,1,0,1,0
"Christ University, Bangalore (Id: U-0217)",224,174,3,1,0,2,8,9,0,0,2,3,100,48
"Cochin University of Science & Technology, Kochi (Id: U-0253)",185,76,17,8,0,1,60,24,0,0,11,3,55,26
Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),16,13,3,1,0,0,0,0,0,0,0,0,0,0
"Datta Meghe Institute of Medical Sciences, Nagpur (Id: U-0295)",196,172,36,22,10,10,58,37,0,1,0,0,3,5
"Davangere University, Davangere (Id: U-0218)",62,34,10,5,5,2,29,14,0,0,0,0,0,0
"Dayalbagh Educational Institute, Agra (Id: U-0507)",113,107,15,5,1,1,10,13,1,0,0,0,3,6
"Deccan College Postgraduate & Research Institute, Pune (Id: U-0296)",18,16,3,3,1,0,3,2,1,0,0,0,0,0
"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat) (Id: U-0161)",117,49,1,0,0,0,0,0,1,0,0,0,0,0
"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur (Id: U-0508)",159,37,7,4,0,0,34,5,0,0,7,1,0,0
"Defence Institute of Advanced Technology, Girinagar, Pune (Id: U-0297)",27,8,1,0,1,0,3,1,0,0,0,0,0,0
