Sr. No.,State Name,University District,Univesity Name / Body Type,Institution District,College/Stand Alone Institution,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding - Male),Teaching Staff (Excluding - Female),Teaching Staff (Excluding - Total),PTR (Equal to 9/12)
7740,Karnataka,--,Teacher Training,Tumkur,"SRI VISHWA BHARATHI DED COLLEGE HADUVANAHALLI, TUMKUR",68,28,96,6,0,6,16
7741,Karnataka,Dharwad,College Institution,Belgaum,"H.V. Koujalagi Law College, Bailhongal",39,6,45,4,2,6,7
7742,Karnataka,--,Teacher Training,Gadag,SHRI MALLIKARJUNA VIDYA SAMSTHE GADAG,61,37,98,6,3,9,10
7743,Karnataka,Bangalore,College Institution,Bangalore,"Soundarya Institute of Management and Science, Soundarya Road, Havanoor Extn., Nagasandra Post, Bangalore -73,",573,295,868,26,14,40,21
7744,Karnataka,--,Teacher Training,Chamarajanagar,SIDDARTHA TEACHERS TRAINING INSTITUTE CHAMARAJANAGAR,49,41,90,8,4,12,7
7745,Karnataka,Gulbarga,College Institution,Gulbarga,C368 Jawahar Degree College Yadgir,229,94,323,7,2,9,35
7746,Karnataka,Belgaum,College Institution,Bangalore,"Sambhram Institute of Technology, BANGALORE",2320,811,3131,111,74,185,16
7747,Karnataka,Gulbarga,College Institution,Bidar,"B264 Govt First Grade Degree College,Aurad",140,69,209,8,5,13,16
7748,Karnataka,Shimoga,College Institution,Shimoga,"Jnana Sahyadri First Grade College, Anandapura, Sagara Taluka.",126,71,197,11,1,12,16
7749,Karnataka,Bangalore,College Institution,Bangalore,"The Oxford College of Management, No.32, 19th Main Road, 17th B Cross, Sector-4, HSR Layout, Bangalore -560 102",911,284,1195,46,76,122,9
7750,Karnataka,Bellary,College Institution,Koppal,"Govt. First Grade College, Yelaburga - 583236",293,193,486,3,1,4,121
7751,Karnataka,Bangalore,College Institution,Chitradurga,S C S College of Pharmacy,277,80,357,34,5,39,9
7752,Karnataka,--,Teacher Training,Raichur,"SHADAKSHARAPPA D.ED COLLEGE, KASABA LINGASUGUR",28,9,37,5,1,6,6
7753,Karnataka,Bangalore,College Institution,Bangalore,"Lowry Memorial College, No 1603, Dooravani Nagar, Bangalore-16",212,37,249,12,28,40,6
7754,Karnataka,--,Teacher Training,Gulbarga,SHRI SHARANAGOUDA PATIL D.ED INSTITUTION GULBARGA,75,55,130,5,1,6,21
7755,Karnataka,Bangalore,College Institution,Bangalore,Al-Ameen College of Pharmacy,237,107,344,15,26,41,8
7756,Karnataka,--,Teacher Training,Belgaum,SHRI KALMESHWAR TEACHERS TRAINING INSTITUTE BELGAUM,46,41,87,5,2,7,12
7757,Karnataka,Gulbarga,College Institution,Gulbarga,C289 Siddharth College of Education Chincholi,52,18,70,5,3,8,8
7758,Karnataka,--,Teacher Training,Koppal,BAPUJI TEACHERS TRAINING INSTITUTE KOPPAL,72,50,122,8,1,9,13
7759,Karnataka,Dharwad,College Institution,Haveri,"Govt. I Grade College Byadagi, Dist- Haveri.",166,75,241,7,1,8,30
7760,Karnataka,--,Teacher Training,Chikkaballapura,MANAS TEACHER TRAINING INSTITUTE KOLAR,24,17,41,6,1,7,5
