Sr. No.,State Name,University District,Univesity Name / Body Type,Institution District,College/Stand Alone Institution,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding - Male),Teaching Staff (Excluding - Female),Teaching Staff (Excluding - Total),PTR (Equal to 9/12)
14956,Maharashtra,Solapur,College Institution,Solapur,DR.PD.PATIL COLLEGE OF COMPUTER SCIENCESandMNGT STUDIES ZARE. TEH-KARMALA DIST. SOLAPUR.,122,51,173,7,0,7,24
14957,Maharashtra,Mumbai,College Institution,Mumbai,Modern Education Society`s D G Ruparel College of Arts Science and Commerce Senapati Bapat Marg Mahim Opp Matunga Road Station Western Railway Mumbai 400 016,2317,1438,3755,28,51,79,47
14958,Maharashtra,Mumbai,College Institution,Sindhudurg,Sai Shikshan and Samajik Sanshodhan Sanstha College of Arts Commerce and Science Behind Padmavati Apartment Near Ratnagiri Sindhudurg Dist Principals Association Vidyabhavan Khareyewadi At Sindhudurgnagari Dist Sindhudurg,83,83,166,1,4,5,33
14959,Maharashtra,Mumbai,College Institution,Mumbai,"SAINATH EDUCATION TRUST’S HB BED COLLEGE, MUMBAI",100,80,180,1,7,8,22
14960,Maharashtra,Nanded,College Institution,Latur,"S.S.T.'s Arts College of Fashion Design, Latur",85,85,170,0,15,15,11
14961,Maharashtra,Mumbai,College Institution,Mumbai,College of Home Science Nirmala Niketan 38 New Marine Lines Mumbai - 400 020,512,511,1023,0,27,27,37
14962,Maharashtra,Mumbai,College Institution,Mumbai,Dhirajlal Talakchand Sankalchand Shah College of Commerce Kurar Village Malad East Mumbai 400 097,1371,567,1938,5,5,10,193
14963,Maharashtra,Raigarh,College Institution,Raigarh,"Mahatma Gandhi Mission's New Bombay College of Nursing, Navi Mumbai",122,117,239,0,18,18,13
14964,Maharashtra,Nagpur,College Institution,Nagpur,"GH Raisoni Institute of Engineering and Technology for Women, Hingna",1123,1123,2246,13,22,35,64
14965,Maharashtra,Kolhapur,College Institution,Satara,"Arts and Commerce College, 51, Yadogopal Peth",1025,413,1438,14,5,19,75
14966,Maharashtra,Nagpur,College Institution,Nagpur,"Lady Amritabai Daga College, N. Ambazari Road",2486,2486,4972,8,99,107,46
14967,Maharashtra,Parbhani,College Institution,Parbhani,"College of Horticulture, Parbhani",150,46,196,4,1,5,39
14968,Maharashtra,Kolhapur,College Institution,Kolhapur,"Night College of Arts and Commerce,Azad Chowk,",380,60,440,13,1,14,31
14969,Maharashtra,Nashik,College Institution,Pune,"Sancheti Institute of Orthopaedics and Rehabilitation, 16, Shivaji Nagar, Pune- 411 005",28,0,28,19,0,19,1
14970,Maharashtra,Pune,College Institution,Nashik,"Shri Gurudatta Shikshan Sanstha Sanchalit Loknete Dr. J.D. Pawar College of Pharmacy, Manur, Tal. Kalwan, Dist. Nashik",242,91,333,14,3,17,19
14971,Maharashtra,Mumbai,College Institution,Thane,Hyderabad (Sindh) National Collegiate Boards College of Management MMS CHM College Compound Ulhasnagar Dist Thane 421 103,114,56,170,2,6,8,21
14972,Maharashtra,Pune,College Institution,Ahmadnagar,"Pravara Rural Education Trusts Arts, Science and Commerce College, Rahata, Tal. Kopargaon, Dist. Ahmednagar",987,387,1374,18,6,24,57
14973,Maharashtra,Amravati,College Institution,Buldana,"Shinde B.Ed. College, Anjani Bu. Mehakar",100,27,127,6,2,8,15
14974,Maharashtra,Aurangabad,College Institution,Aurangabad,"Dr. Rafiq Zakeriya Education Trust, Lokseva College of Arts and Science",427,126,553,13,0,13,42
14975,Maharashtra,Mumbai,College Institution,Mumbai,Tolani College of Commerce Share e Punjab Society Plot No 151 Mahakali Caves Road Andheri E Mumbai 400 093,2108,1291,3399,2,15,17,199
14976,Maharashtra,Solapur,College Institution,Solapur,MATOSHRI GURUBASVVA KALYANSHETI ARTS and COMMERCE WOMEN COLLEG AKKLKOTDIST-SOLAPUR,114,114,228,6,2,8,28
14977,Maharashtra,Amravati,College Institution,Washim,"Matoshree Shantabai Gote Arts, Commerce and Science College, Washim.",339,108,447,18,4,22,20
14978,Maharashtra,Pune,College Institution,Pune,"Sinhgad Technical Education Societys Sinhgad Institute of Management and Computer Application, Narhe Ambegaon, Dist. Pune 411041",923,230,1153,41,35,76,15
14979,Maharashtra,Mumbai,College Institution,Mumbai Suburban,Atharva Educational Trusts College of Engineering Plot No.8/12 Sarve No 263 Malad Marve Road Charkope Naka Malad (West) Mumbai-400 095,1818,529,2347,46,70,116,20
14980,Maharashtra,Aurangabad,College Institution,Aurangabad,"Shri Muktanand Arts, Science and Commerce College",1395,385,1780,23,4,27,65
14981,Maharashtra,Amravati,College Institution,Amravati,"P.R. Patil College of Architecture, Amravati",86,47,133,6,3,9,14
14982,Maharashtra,Pune,College Institution,Ahmadnagar,"Akole Taluka Education Societys Arts, Commerce and Dadasaheb Rupwate Science College, Akole, Dist.Ahmednagar 422601",2261,1065,3326,27,0,27,123
14983,Maharashtra,Pune,College Institution,Pune,"Shri. Jagdamba Sanstha's Tirupati Institute of Management, Shindewadi, Taluka - Bhor, District - Pune 411030",107,19,126,22,11,33,3
14984,Maharashtra,Amravati,College Institution,Akola,"Bhausaheb Lahane Dnyanprakash Arts and Science College, Pinjar, Tq. Barshitakali.",248,106,354,8,0,8,44
14985,Maharashtra,Nashik,College Institution,Pune,"Sinhgad Nursing College, Pune (B.Sc.)",230,161,391,6,24,30,13
14986,Maharashtra,Pune,College Institution,Pune,"Vidya Pratishthans Arts, Commerce and Science College, M.I.D.C.Baramati, Pune 413100",4077,2224,6301,43,15,58,108
14987,Maharashtra,Pune,College Institution,Nashik,"Gokhale Education Societys Dr. M.S.Gosavi Institute of Business Studies, Panchavati, Nashik 422005",77,25,102,2,3,5,20
14988,Maharashtra,Kolhapur,College Institution,Satara,"Abhinav Education Society College of Engineering and Technology, Vaddwadi,",425,72,497,29,23,52,9
14989,Maharashtra,Mumbai,College Institution,Mumbai,Bharati Vidapeeths Regional Office College of MCA Sector-8 C B D Belapur Navi Mumbai,193,94,287,4,17,21,13
14990,Maharashtra,Pune,College Institution,Pune,"NAVSAHYADRI EDUCATION SOCIETYs GROUP OF INSTITUTIONS FACULTY OF ENGINEERING, NAIGAON",587,90,677,21,14,35,19
14991,Maharashtra,Nanded,College Institution,Latur,R.E.S.'s College of Computer Science and I.T. Latur,1992,716,2708,43,33,76,35
14992,Maharashtra,Pune,College Institution,Pune,"DR D Y PATIL EDUCATIONAL ENTERPRISES CHARITABLE TRUSTS DR D Y PATIL GROUP OF INSTITUTIONS DR D Y PATIL SCHOOL OF ENGINEERING, PUNE",223,38,261,43,18,61,4
14993,Maharashtra,Jalgaon,College Institution,Dhule,"250043-SSVPS'S SMT.P.B.BAGAL ARTS and COMMERCE COLLEGE, DONDAICHA, TAL SHINDKHEDA, DHULE",363,217,580,11,6,17,34
14994,Maharashtra,Aurangabad,College Institution,Osmanabad,"Shri Chhatrapati Shivaji College of Arts, Science and Commerce College, Omerga",2208,715,2923,52,2,54,54
14995,Maharashtra,Nagpur,College Institution,Wardha,"Education College, Arvi Road",67,51,118,1,6,7,16
14996,Maharashtra,Pune,College Institution,Pune,"Marathwada Mitra Mandal's College of Commerce, Pune 4",720,324,1044,4,1,5,208
14997,Maharashtra,Solapur,College Institution,Solapur,MADHAN SINHA MOHITE PATIL SCIENCE COLLEGE TAL.MANGLWADHA DIST-SOLAPUR,492,200,692,17,0,17,40
14998,Maharashtra,Pune,College Institution,Pune,"Progressive Educational Societys Modern College of Arts, Science and Commerce , Ganeshkhind, Pune 53",3992,1949,5941,27,91,118,50
14999,Maharashtra,Pune,College Institution,Nashik,"Motiwala Education and Welfare Trusts Motiwala College of Education, Motiwala Nagar, Satpur, Gangapur Link Road, Nashik 422205",98,91,189,10,3,13,14
15000,Maharashtra,Pune,College Institution,Ahmadnagar,"Padmashree Dr. Vikhe Patil Foundations Insitute of Business Management and Rural Development M.B.A. Centre, Vilad Ghat, Post MIDC, Ahmednagar 414111",373,111,484,27,8,35,13
15001,Maharashtra,Kolhapur,College Institution,Kolhapur,"R.B.Madkholkar College, CHANDGAD",864,384,1248,23,3,26,48
15002,Maharashtra,Mumbai,College Institution,Mumbai,"ANJUMAN-I-ISLAMS SCHOOL OF ENGINEERING AND TECHNOLOGY ATANJUMAN-I-ISLAM KALSEKAR TECHNICAL, MUMBAI",300,25,325,31,7,38,8
15003,Maharashtra,Pune,College Institution,Ahmadnagar,"Baneshwar Shikshan Sansthas Arts,Science and Commerce College, BurhanNagar, Ahmednagar",636,154,790,9,10,19,41
15004,Maharashtra,Aurangabad,College Institution,Bid,"Marathwada Shikshan Prasarak Mandal's Swami Vivekanand Arts, Science and Commerce College, Parli Vaijanath.",322,178,500,31,2,33,15
15005,Maharashtra,Pune,College Institution,Pune,"Jaywant Shikshan Prasarak Mandal's Rajshree Shahu College of Engineering, S.No. 80, Pune Bombay Bypass highway, Thathwade, Pune 411 033",1765,517,2282,90,70,160,14
15006,Maharashtra,Amravati,College Institution,Washim,"Kisanlal Nathmal Arts, Commerce College, Karanja (Lad).",561,180,741,8,4,12,61
15007,Maharashtra,Pune,College Institution,Pune,"Shri Mugutrao Sahebrao Kakade Mahavidyalaya Arts and Commerce, Someshwarnagar,Nira, Dist. Pune 412306",1080,397,1477,20,1,21,70
15008,Maharashtra,Solapur,College Institution,Solapur,MATOSHRI LAXIMIBAI MEHATRE COLLEGE OF EDUCATION AKKLKOT TAL.AKKLKOT DIST-SOLAPUR,82,33,115,2,3,5,23
15009,Maharashtra,Pune,College Institution,Pune,"Dr. Vikhe Patil Foundations Centre for Management, Near Patrakarnagar,Off. Senapati Bapat Road, Pune 411053",165,78,243,7,9,16,15
15010,Maharashtra,Pune,College Institution,Pune,"Shri Bhiravnathh Shikshan Prasarak Mandals Shri Bhimashankar B.Ed. College, Landewadi, Chincholi, Tal. Ambegaon, Dist. Pune",46,26,72,1,1,2,36
15011,Maharashtra,Jalgaon,College Institution,Jalgaon,"100062-K.A.K.P. SANSHTA'S COMMERCE and SCIENCE COLLEGE, JALGAON",74,33,107,4,9,13,8
15012,Maharashtra,Amravati,College Institution,Yavatmal,"College of Management And Computer Science, Yavatmal.",389,231,620,12,5,17,36
15013,Maharashtra,Mumbai,College Institution,Mumbai,Sanskardham Kelvani Mandals Jashbhai Maganbhai Patel College of Commerce Unnat Nagar M G Road Off Ganapati Stores Goregaon West Mumbai 400 090,811,296,1107,7,3,10,110
15014,Maharashtra,Kolhapur,College Institution,Satara,"Arts and Comm. College, NAGTHANE",626,320,946,15,1,16,59
15015,Maharashtra,Jalgaon,College Institution,Dhule,"250045-DSM'S COLLEGE OF EDUCATION, DONDAICHA, TAL SHINDKHEDA, DHULE",80,69,149,0,4,4,37
15016,Maharashtra,Kolhapur,College Institution,Sangli,"Jayawant College of Engineering and Management, Gat,Kille Machindragad,",23,4,27,53,25,78,0
15017,Maharashtra,Pune,College Institution,Pune,"Maharashtra Education Society's Abasaheb Garware College of Commerce, Pune 04",1820,950,2770,15,13,28,98
15018,Maharashtra,Aurangabad,College Institution,Bid,"Yogeshwari Mahavidyalaya, Ambajogai.",680,287,967,22,4,26,37
15019,Maharashtra,Pune,College Institution,Ahmadnagar,"Pravara Rural Education Societys Padmashri Vikhhe Patil College of Arts, Science and Commerce, Pravaranagar, A/p. Loni, Tal. Rahata, Dist.Ahmednagar 413713",2917,1325,4242,92,17,109,38
15020,Maharashtra,Aurangabad,College Institution,Bid,"Venutai Chavan Pratishthan's Mahila Arts and Commerce College, Ambajogai.",443,443,886,9,11,20,44
15021,Maharashtra,Kolhapur,College Institution,Satara,Dhanajayrao Gadgil Colllege of Commerce,1398,766,2164,15,5,20,108
15022,Maharashtra,Pune,College Institution,Nashik,"Kalyani Charitable Trusts K.R.Sapkal College of Management Studies, Kalyani Hills, Anjaneri,Tryambakeshwar Road, Nashik",225,80,305,16,8,24,12
15023,Maharashtra,Mumbai,College Institution,Thane,Koti Vidya Charitable Trusts Alamini Ratnamala Institute of Engineering and Technology At Post Sapgaon Tal Shahapur Dist Thane-421 601,1403,196,1599,63,14,77,20
15024,Maharashtra,Pune,College Institution,Pune,"Shahajirao Patil Vikas Pratishthans S.B.Patil College of Engineering, Vangali, Tal. Indapur, Dist.Pune 413106",831,232,1063,44,8,52,20
15025,Maharashtra,Pune,College Institution,Ahmadnagar,"Gokhale Education Societys College of Education,Sangamner,Dist.Ahmednagar 422605",77,56,133,5,4,9,14
15026,Maharashtra,Solapur,College Institution,Solapur,DESHBHAKATA SAMBHAJIRAO GARAD MAHAVIDYALAYA. MOHOL-413213,935,263,1198,22,1,23,52
15027,Maharashtra,Pune,College Institution,Pune,"Mahatma Phule Institute of Computer Management Studies and Research, Hadapsar, Pune 411028",199,53,252,9,3,12,21
15028,Maharashtra,Mumbai,College Institution,Sindhudurg,Raosaheb Gogate College of Commerce and Smt. Saraswatibai Ganashet Walke College of Arts Panval Banda Taluka Sawantwadi Dist Sindhudurg 416 511,466,209,675,9,1,10,67
15029,Maharashtra,Aurangabad,College Institution,Bid,"R.B. Attal Arts, Science and Commerce College, Georai.",1354,261,1615,31,2,33,48
15030,Maharashtra,Pune,College Institution,Ahmadnagar,"Janata Shikshan Prasarak Mandals Marutraoji Ghule Patil Arts,Commerce and Science College, Nagapur, Tal.and Dist. Ahmednagar",360,154,514,3,0,3,171
15031,Maharashtra,Pune,College Institution,Pune,"The Shetkari Shikshan Mandals Padma Vasantdada Patil Institute of Technology, Bavdhan Khurd,Pune 38",435,95,530,31,17,48,11
15032,Maharashtra,Pune,College Institution,Pune,"DR D Y PATIL EDUCATIONAL ENTERPRISES CHARITABLE TRUSTS DR D Y PATIL GROUP OF INSTITUTIONS DR D Y PATIL SCHOOL OF ENGINEERING AND TECHNOLOGY, PUNE",52,9,61,30,11,41,1
15033,Maharashtra,Mumbai,College Institution,Mumbai,Maharashtra College of Arts Science and Commerce 246 A Bellasis Road Byculla Mumbai 400 008,1229,773,2002,34,15,49,40
15034,Maharashtra,Mumbai,College Institution,Raigarh,Government College of Education C/o Government Jr College of Education Panvel Dist Raigad,100,80,180,2,4,6,30
15035,Maharashtra,Nashik,College Institution,Nagpur,"Govt. Ayurved Mahavidyalaya, Nagpur",252,149,401,28,12,40,10
15036,Maharashtra,Nagpur,College Institution,Bhandara,"Arts Commerce College, Jawaharnagar",701,366,1067,17,13,30,35
15037,Maharashtra,Pune,College Institution,Pune,"Bharati Vidyapeeths College of Engineering for Women, Pune",1105,1095,2200,18,42,60,36
15038,Maharashtra,Mumbai,College Institution,Mumbai,Jawahar Education Societys A.C.Patil College of Engineering 17 Sector-4 Kharghar Navi Mumbai-410 210,2131,682,2813,57,71,128,21
15039,Maharashtra,Pune,College Institution,Pune,Marathwada Mitra Mandal's College of Architecture Pune 4,225,128,353,10,11,21,16
15040,Maharashtra,Mumbai,College Institution,Raigarh,Konkan Education Societys Anandibai Pradhan Science College Nagothane Tal Roha Dist Raigad,395,219,614,13,11,24,25
15041,Maharashtra,Nanded,College Institution,Nanded,"Gramin B.C.S. and B.C.A. Computational , College, New Mondha Kandhar",0,0,0,0,0,0,0
15042,Maharashtra,Kolhapur,College Institution,Kolhapur,"Anandi Arts, Commerce and Science College, Gaganbavada",504,60,564,13,8,21,26
15043,Maharashtra,Nashik,College Institution,Aurangabad,"Shri Bahagwan Homoeopathy College, Aurangabad",300,215,515,31,18,49,10
15044,Maharashtra,Pune,College Institution,Pune,"Pune Zilha Shikshan Mandals Sheth Govind Raghunath Sable College of Pharmacy, Saswad, Pune 412301",257,136,393,8,9,17,23
15045,Maharashtra,Nashik,College Institution,Osmanabad,"Adarsh Shikshan Prasarak Mandals K.T. Patil College of B.Sc. Nursing, Osmanabad",36,25,61,11,7,18,3
15046,Maharashtra,Amravati,College Institution,Amravati,"Wahed Khan Shikshan Mahavidyalaya , Near Parfect Darma Kata, Walgaon Rd., Amravati",100,69,169,2,6,8,21
15047,Maharashtra,Pune,College Institution,Pune,"Dr. D.Y.Patil Pratishthans Dr.D.Y.Patil Institute of Management Studies, Akurdi, Pune 411044",240,66,306,9,9,18,17
15048,Maharashtra,Nanded,College Institution,Nanded,"Baliram Patil Mahavidyalaya, kinwat",21,2,23,16,4,20,1
15049,Maharashtra,Pune,College Institution,Ahmadnagar,"Vishwabharati Academys College of Engineering, Jamkhed Road, Ahmednagar",832,211,1043,94,60,154,6
15050,Maharashtra,Nagpur,College Institution,Nagpur,"Sindhu College, Panchpavli Road",1744,903,2647,30,23,53,49
15051,Maharashtra,Mumbai,College Institution,Mumbai,I C L s Motilal Jhunjhunwala Arts Science and Commerce College Plot No.53 Sector 9 A Amlendu Roye Marg Vashi Navi Mumbai 400 703,7548,4228,11776,27,56,83,141
15052,Maharashtra,Nashik,College Institution,Nagpur,"Dnyanpath Bahu-uddeshiya Shikshan Prasarak Mandals Suretech College of Nursing (B.Sc.), Jamtha, Tal. Dist. Nagpur",460,431,891,6,28,34,26
15053,Maharashtra,Jalgaon,College Institution,Nandurbar,"230065-PSGVPM'S COLLEGE OF PHARMACY, SHAHADA, DIST-NANDURBAR.",264,88,352,9,2,11,32
15054,Maharashtra,Mumbai,College Institution,Mumbai,St Xaviers College Mahapalika Marg Mumbai 400 001,3292,1935,5227,40,60,100,52
15055,Maharashtra,Nanded,College Institution,Hingoli,"Savitribai Phule BCA College, Vasmat",119,38,157,15,9,24,6
15056,Maharashtra,Mumbai,College Institution,Mumbai,Yerla Medical Trust and Research Centres College of Management Institutional Area Sector-4 Kharghar Navi Mumbai 410 210,491,170,661,8,27,35,18
15057,Maharashtra,Ratnagiri,College Institution,Ratnagiri,College of Fisheries,178,69,247,41,3,44,5
15058,Maharashtra,Jalgaon,College Institution,Nandurbar,"220105-JIJAMATA EDUCATION SOCIETY'S COLLEGE OF EDUCATION, NANDURBAR",0,0,0,3,3,6,6
15059,Maharashtra,Nanded,College Institution,Latur,"Dayanand Commerce College, Latur",1677,672,2349,19,14,33,71
15060,Maharashtra,Nanded,College Institution,Parbhani,"Late Nitin Arts and Science Mahavidyalaya, Pathri",218,118,336,36,6,42,8
15061,Maharashtra,Pune,College Institution,Pune,"Sinhgad Management School, Kondhapuri, Tal.Shirur, Dist.Pune 412208",250,60,310,1,0,1,310
15062,Maharashtra,Kolhapur,College Institution,Sangli,"Warana Mahavidyalaya, AITAWADE",246,110,356,10,3,13,27
15063,Maharashtra,Nanded,College Institution,Parbhani,"Dnyanganga College, Ranisawargaon, Tq. Gangakhed",76,22,98,5,1,6,16
15064,Maharashtra,Kolhapur,College Institution,Kolhapur,"Kala Prabodhini's,Institute of Design ,C/o Bhalaji Pendharkar Sanskrutik Kendra, 253 Kha, Nagala Park,",0,0,0,3,1,4,4
15065,Maharashtra,Pune,College Institution,Ahmadnagar,"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's New Law College, Ahmednagar 414001",909,291,1200,17,0,17,70
15066,Maharashtra,Pune,College Institution,Pune,"Dr. D.Y.Patil Centre of Management and Research, Village Chikhali,Pune 411019",222,58,280,8,6,14,20
15067,Maharashtra,Nanded,College Institution,Latur,"Dayanand Arts College, Latur",1226,675,1901,30,16,46,41
15068,Maharashtra,Mumbai,College Institution,Sindhudurg,Vishweshwar Education Societys Western College of Commerce and Business Management Plot No.2 Sector 9 Sanpada Navi Mumbai 400 705,757,295,1052,3,14,17,61
15069,Maharashtra,Nagpur,College Institution,Gondiya,"Chotabhai Jevhribhai Patel Arts Commerce College, Tirodi",1362,899,2261,9,5,14,161
15070,Maharashtra,Mumbai,College Institution,Mumbai,"Bharatiya Vidya Bhavans Hazarimal Somani College of Arts and Science Jayaramdas Patel College of Commerce and Management Studies, Chowpatty",1476,674,2150,24,24,48,44
15071,Maharashtra,Pune,College Institution,Pune,"Pune Zilha Shikshan Mandals Annasaheb Magar Mahavidyalaya Arts, Science and Commerce, Hadapsar, Pune 28",4435,1805,6240,39,53,92,67
15072,Maharashtra,Kolhapur,College Institution,Satara,"Shikshan Maharshi Bapuji Salunkhe Mahavidyalaya, Pantacha Kot, Somwar Peth, KARAD",621,223,844,22,5,27,31
15073,Maharashtra,Pune,College Institution,Nashik,"Gokhale Education Societys Shri S.P.Kothari and Smt. G.S.Kothari Institute of Computer Science and Technology Management, Nashik 422101",152,70,222,2,3,5,44
15074,Maharashtra,Mumbai,College Institution,Raigarh,"PRABHAKAR PATIL EDUCATION SOCIETYs B Ed COLLEGE, VESHVI",81,70,151,4,2,6,25
15075,Maharashtra,Kolhapur,College Institution,Sangli,"Hon.Shri Annasaheb Dange College of Education (B.Ed..), Ashta",89,64,153,3,0,3,51
15076,Maharashtra,Nashik,College Institution,Nashik,"M.T.C. Unani Medical College, Malegaon",160,111,271,31,12,43,6
15077,Maharashtra,Nagpur,College Institution,Mumbai,K.J. Somaiya Bharatiya Sanskrit Peetham,204,129,333,3,7,10,33
15078,Maharashtra,Pune,College Institution,Pune,"Sunni Jumma Masjid Education Societys Dr.Mumtaj Ahmed Khan Education College, Manchar, Dist.Pune",129,82,211,9,3,12,17
15079,Maharashtra,Pune,College Institution,Pune,"J.S.P.M. Kautilya Institute of Management and Research, Wagholi, Pune 412207",210,51,261,15,1,16,16
15080,Maharashtra,Nagpur,College Institution,Wardha,"Vidyabharti College, Selu",197,116,313,19,1,20,15
15081,Maharashtra,Nanded,College Institution,Parbhani,"Nutan Mahavidyalaya, Selu",704,296,1000,20,6,26,38
15082,Maharashtra,Nagpur,College Institution,Nagpur,Maharshi Karve Stri Shikshan Sanstha's Shikshashastri Mahavidyalaya,38,38,76,0,5,5,15
15083,Maharashtra,Mumbai,College Institution,Nashik,Ashoka International Centre for Edeucation Studies and Research,100,100,200,3,5,8,25
15084,Maharashtra,Mumbai,College Institution,Mumbai Suburban,Siddhivinayak Shikshan Prasarak Mandals R B B.Ed. College Ram Nagar Rawate Compound Tembe Pada Road Bhandup (East) Mumbai 400 078,0,0,0,0,0,0,0
15085,Maharashtra,Nanded,College Institution,Latur,"Vilasrao Deshmukh Foundations College of Engineering and Pharmacy, Latur",464,106,570,22,11,33,17
15086,Maharashtra,Kolhapur,College Institution,Sangli,"Jivan Prabodhini Kanya Mahavidyalaya, Vita",487,487,974,14,8,22,44
15087,Maharashtra,Mumbai,College Institution,Mumbai,Bharat Education Societys Sant Gadge Maharaj College of Commerce and Economics 12th Lane Khetwadi Mumbai 400 004,824,287,1111,7,2,9,123
15088,Maharashtra,Nagpur,College Institution,Nagpur,"Central Institute of Business Management, Research and Development, Somalwada",255,95,350,6,7,13,26
15089,Maharashtra,Nashik,College Institution,Pune,"Deccan Edu. Societys D.E.S. College of Physio., Pune",120,105,225,1,5,6,37
15090,Maharashtra,Jalgaon,College Institution,Jalgaon,"100113-KCES'S POST GRADUATE COLLEGE OF SCIENCE TECH.and RESEARCH, JALGAON.",64,24,88,5,3,8,11
15091,Maharashtra,Amravati,College Institution,Akola,"Shri Radhakisan Lakshminarayan Toshniwal Science College, Akola.",817,527,1344,32,54,86,15
15092,Maharashtra,Nagpur,College Institution,Chandrapur,"Smt Kamaltai Waddetiwar Education College, Sindewahi",0,0,0,1,0,1,1
15093,Maharashtra,Mumbai,College Institution,Sindhudurg,Shikshan Vikas Mandals Shri Shantaram Krishnaji College of Education Deogad Dist Sindhudurg,89,43,132,7,1,8,16
15094,Maharashtra,Kolhapur,College Institution,Satara,"Raja Shripatrao Bhagawantrao Mahavidyalaya, AUNDH",746,329,1075,26,3,29,37
15095,Maharashtra,Aurangabad,College Institution,Bid,"Janta Vastigrah Sanstha, Dhanora, Janta Arts, Science and Commerce College, Dhanora.",727,236,963,28,1,29,33
15096,Maharashtra,Mumbai,College Institution,Sindhudurg,Shikshan Vikas Mandals S H Kelkar College of Arts Science and Commerce Devgad Dist Sindhudurg 416 613,976,377,1353,21,3,24,56
15097,Maharashtra,Pune,College Institution,Nashik,"Matoshri Education Societyss Matoshri College of Management and Research Centre, Krushi Utpanna Bazar Samittee Darade Complex, Manmad Road, Yeola, Dist. Nashik",58,18,76,20,6,26,2
15098,Maharashtra,Amravati,College Institution,Washim,"Sammati College of Education, washim.",93,38,131,5,4,9,14
15099,Maharashtra,Kolhapur,College Institution,Satara,"Vishwakarma Dadasaheb Chavan Institute of Management and Research,Malawadi",100,34,134,6,2,8,16
15100,Maharashtra,Mumbai,College Institution,Thane,Adarsh Vikas Mandal Karmaveer Bhaurao Patil College of Arts and Commerce Wagale Estate Thane W,279,130,409,9,3,12,34
15101,Maharashtra,Mumbai,College Institution,Satara,Venutai Women's College of Education,100,100,200,3,5,8,25
15102,Maharashtra,Nanded,College Institution,Latur,"Shivneri Mahavidyalaya, Shiruranantpal",260,113,373,16,0,16,23
15103,Maharashtra,Kolhapur,College Institution,Kolhapur,"Mahadevrao B.Ed. College, Turkewadi,",85,42,127,7,0,7,18
15104,Maharashtra,Pune,College Institution,Pune,"MAEER's MIT Saint Dnyaneshwar B.Ed.College, Kelgoan, Alandi, Dist Pune",68,56,124,3,5,8,15
15105,Maharashtra,Amravati,College Institution,Buldana,"Kadriya College of Education, Buldhana",80,38,118,5,3,8,14
15106,Maharashtra,Pune,College Institution,Ahmadnagar,"Amrutvahini Institute of Management and Business Administration, Tal. P.O.Sangamner, SK, Dist. Ahmednagar 422608",196,62,258,17,0,17,15
15107,Maharashtra,Nanded,College Institution,Nanded,"Shree Guru Govindsinghji College, Cidco, Nanded",17,5,22,3,0,3,7
15108,Maharashtra,Pune,College Institution,Nashik,"Devala Education Societys Karmaveer Ramraojee Aher Arts,Science and Commerce College, Deola, Tal. Kalwan, Dist. Nashik 423102",781,479,1260,33,2,35,36
15109,Maharashtra,Mumbai,College Institution,Mumbai,"Ritambara Vishwa Vidyapeeths Malini Kishor College of Commerce and Economics, Shri Jitendra Mafatlal Mehta Educational Complex Plot No A 12 18 JVP D Scheme Mora Village Road Vile Parle West Mumbai 400 049",3337,1342,4679,19,21,40,116
15110,Maharashtra,Pune,College Institution,Ahmadnagar,"Sanjivani Rural education Society's Sanjivani Arts, Commerce and Science College Address: Sanjivani Rural Education Society, At-Sahajnanad Nagar, Taluka- Kopargaon, District-Ahmednagar Taluka: Kopargaon, District: Ahmednagar",18,2,20,8,0,8,2
15111,Maharashtra,Raigarh,College Institution,Raigarh,"Mahatma Gandhi Mission's School of Physiotherapy, Navi Mumbai",252,227,479,3,11,14,34
15112,Maharashtra,--,Teacher Training,Wardha,SWARGLYA HARIBHAU MAHURE BAHUUDDESHIYA SHIKSHAN SANSTHA DEOLI WARDHA,108,71,179,2,8,10,17
15113,Maharashtra,Pune,College Institution,Pune,"Sinhgad Technical Education Societys Sinhgad College of Science, Vadgaon bk., Sinhgad road, Pune 41",1481,461,1942,10,21,31,62
15114,Maharashtra,Amravati,College Institution,Washim,"College of Physical Education, Karanja (Lad).",52,10,62,5,0,5,12
15115,Maharashtra,Pune,College Institution,Nashik,"M.G.Vidyamandirs K.B.H.Institute of Management and Research, Malegaon Camp, Dist.Nashik 423105",27,5,32,1,0,1,32
15116,Maharashtra,Aurangabad,College Institution,Bid,"Late. Yeshwantrao Chate Shikshan Santha, Tambwa, Tq-Kaij Shri Tambeshwar Commerce Science and Information Technology College",224,37,261,4,1,5,52
15117,Maharashtra,Mumbai,College Institution,Mumbai Suburban,R.R. Educational Trusts College of Education (B.Ed.) Mulund (E) Mumbai,100,67,167,2,4,6,27
15118,Maharashtra,--,Teacher Training,Parbhani,DR. ZAKIR HUSSAIN JR. COLLEGE OF EDUCATION PARBHANI PARBHANI,72,59,131,5,3,8,16
15119,Maharashtra,Mumbai,College Institution,Mumbai,K. J. Somaiya Institute of Engineering and Information Technology Somaiya Ayurvihar Complex Eastern Express Highway Sion Mumbai 400 022,1408,417,1825,36,60,96,19
